,S&P,,Moody's,,Fitch,,TE,
Albania ,B ,POSITIVE ,B1,STABLE ,,,33,STABLE 
Andorra ,BBB- ,Watch NEG ,,,,,70,NEGATIVE 
Angola ,B+ ,STABLE ,Ba2,NEGATIVE ,BB- ,NEGATIVE ,41,STABLE 
Argentina ,SD ,NM ,Caa1,NEGATIVE ,RD ,,20,NM 
Armenia ,,,Ba3,NEGATIVE ,B+ ,STABLE ,43,STABLE 
Aruba ,BBB+ ,STABLE ,,,BBB- ,STABLE ,60,STABLE 
Australia ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,97,STABLE 
Austria ,AA+ ,STABLE ,Aaa,STABLE ,AA+ ,STABLE ,98,STABLE 
Azerbaijan ,BBB- ,Negative ,Baa3,STABLE ,BBB- ,STABLE ,55,STABLE 
Bahamas ,BBB ,NEGATIVE ,Baa2,STABLE ,,,60,NEGATIVE 
Bahrain ,BBB- ,Negative ,Baa2,NEGATIVE ,BBB ,Negative ,60,STABLE 
Bangladesh ,BB- ,STABLE ,Ba3,STABLE ,BB- ,STABLE ,40,STABLE 
Barbados ,B ,NEGATIVE ,B3,NEGATIVE ,,,33,NEGATIVE 
Belarus ,B- ,STABLE ,B3,RUR ,,,25,STABLE 
Belgium ,AA ,STABLE ,Aa3,STABLE ,AA ,NEGATIVE ,88,STABLE 
Belize ,B- ,POSITIVE ,Caa2,STABLE ,,,20,STABLE 
Bermuda ,AA- ,NEGATIVE ,A1,STABLE ,A+ ,STABLE ,81,NEGATIVE 
Bolivia ,BB ,STABLE ,Ba3,STABLE ,BB- ,POSITIVE ,41,STABLE 
Bosnia and Herzegovina ,B ,STABLE ,B3,STABLE ,,,28,STABLE 
Botswana ,A- ,STABLE ,A2,STABLE ,,,73,STABLE 
Brazil ,BBB- ,STABLE ,Baa2,NEGATIVE ,BBB ,STABLE ,47,STABLE 
Bulgaria ,BB+ ,Stable ,Baa2,STABLE ,BBB- ,STABLE ,53,Stable 
Burkina Faso ,B- ,Stable ,,,,,30,STABLE 
Cambodia ,B ,STABLE ,B2,STABLE ,,,30,STABLE 
Cameroon ,B ,STABLE ,,,B ,STABLE ,30,STABLE 
Canada ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,98,STABLE 
Cape Verde ,B ,STABLE ,,,B ,STABLE ,30,STABLE 
Cayman Islands ,,,Aa3,STABLE ,,,85,
Chile ,AA- ,STABLE ,Aa3,STABLE ,A+ ,STABLE ,78,STABLE 
China ,AA- ,STABLE ,Aa3,STABLE ,A+ ,STABLE ,79,STABLE 
Colombia ,BBB ,Stable ,Baa2,STABLE ,BBB ,STABLE ,53,Stable 
Congo ,B- ,STABLE ,B3,STABLE ,,,25,STABLE 
Costa Rica ,BB ,STABLE ,Ba1,STABLE ,BB+ ,NEGATIVE ,49,STABLE 
Croatia ,BB ,Stable ,Ba1,NEGATIVE ,BB ,STABLE ,43,Stable 
Cuba ,,,Caa2,STABLE ,,,15,STABLE 
Cyprus ,B+ ,POSITIVE ,B3,STABLE ,B- ,POSITIVE ,23,POSITIVE 
Czech Republic ,AA- ,STABLE ,A1,STABLE ,A+ ,STABLE ,80,STABLE 
Denmark ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,99,STABLE 
Dominican Republic ,B+ ,STABLE ,B1,STABLE ,B+ ,STABLE ,33,STABLE 
Ecuador ,B+ ,STABLE ,B3,STABLE ,B ,STABLE ,29,STABLE 
Egypt ,B- ,STABLE ,B3,STABLE ,B ,Stable ,24,STABLE 
El Salvador ,B+ ,Stable ,Ba3,STABLE ,BB- ,NEGATIVE ,40,NEGATIVE 
Estonia ,AA- ,STABLE ,A1,STABLE ,A+ ,STABLE ,81,STABLE 
Ethiopia ,B ,STABLE ,B1,STABLE ,B ,STABLE ,31,STABLE 
Fiji ,B ,POSITIVE ,B1,STABLE ,,,33,POSITIVE 
Finland ,AA+ ,STABLE ,Aaa,STABLE ,AAA ,NEGATIVE ,98,STABLE 
France ,AA ,NEGATIVE ,Aa1,NEGATIVE ,AA ,Stable ,93,STABLE 
Gabon ,B+ ,STABLE ,Ba3,Stable ,BB- ,Negative ,40,STABLE 
Georgia ,BB- ,STABLE ,Ba3,POSITIVE ,BB- ,POSITIVE ,40,STABLE 
Germany ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,99,STABLE 
Ghana ,B- ,STABLE ,B3,Negative ,B ,NEGATIVE ,30,NEGATIVE 
Greece ,B- ,Watch NEG ,Caa1,RUR ,CCC ,,20,STABLE 
Guatemala ,BB ,STABLE ,Ba1,STABLE ,BB ,STABLE ,46,STABLE 
Honduras ,B ,STABLE ,B3,Stable ,,,28,STABLE 
Hong Kong ,AAA ,STABLE ,Aa1,STABLE ,AA+ ,STABLE ,94,STABLE 
Hungary ,BB+ ,STABLE ,Ba1,STABLE ,BB+ ,STABLE ,45,STABLE 
Iceland ,BBB- ,POSITIVE ,Baa3,STABLE ,BBB ,Positive ,51,POSITIVE 
India ,BBB- ,STABLE ,Baa3,STABLE ,BBB- ,STABLE ,47,STABLE 
Indonesia ,BB+ ,STABLE ,Baa3,STABLE ,BBB- ,STABLE ,46,STABLE 
Ireland ,A ,Stable ,Baa1,STABLE ,A- ,STABLE ,67,POSITIVE 
Isle of Man ,,,Aa1,STABLE ,,,95,STABLE 
Israel ,A+ ,STABLE ,A1,STABLE ,A ,STABLE ,75,STABLE 
Italy ,BBB- ,Stable ,Baa2,Stable ,BBB+ ,STABLE ,60,Negative 
Ivory Coast ,,,B1,POSITIVE ,B ,POSITIVE ,33,POSITIVE 
Jamaica ,B- ,POSITIVE ,Caa3,Positive ,B- ,POSITIVE ,21,POSITIVE 
Japan ,AA- ,NEGATIVE ,A1,STABLE ,A+ ,NEGATIVE ,82,NEGATIVE 
