country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth,iso3,pov_head,shew,prepare_scaleup,finance_pre,rating,avg_prod_k,protection,faref,fa,peref,pe,share1_ref,v,pv,v_s,H,alpha,T_rebuild_K,T_rebuild_L,pi,income_elast,original_country,macro_multiplier,fap,far,v_shew,v_p,v_r,borrow_abi,sigma_p,sigma_r,tot_p,tot_r,dcap,dcar,delta_W,dKpc,dKtot,cp,cr,dcapns,dcarnos,institutional_exposure,individual_exposure,destitution_exposure,dC_destitution,dW_destitution,resilience,resilience_no_shock,resilience_no_shock_no_uspcale,resilience_no_shock_no_SP,dWsurWprime,equivalent_cost,risk,total_equivalent_cost,total_equivalent_cost_of_destitution,total_equivalent_cost_no_destitution
Afghanistan,1883.7633205312,30551674.0,0.094,,0.08,0.0,0.047017940000000015,0.386,0.737918301689184,0.1110742968568676,0.04316252283353993,0.32404084915540804,AFG,0.2,0.4,0.4,0.4,0.0,,2.0,0.10002409,0.10002409,0.2,0.2,0.094,0.3424369029275808,0.8397549873099794,0.3047499999999999,0.5356497092899941,0,3,40,0.2,1.5,Afghanistan,,0.12002890799999999,0.09502288549999999,0.3150419506933743,0.5796,0.2803699999999999,0.2,0.15000000000000002,0.15000000000000002,0.2444131523283375,0.186688144408509,,,,,,885.368760649664,2133.3619605015842,,,,0.005952643680933343,,15082.980571263324,,,,,,,,,,,
Albania,9960.94072581355,2897366.0,0.0885,0.986670379638672,0.16,0.07585278999999999,0.092387,0.993,0.514646547616325,0.2629495641629598,0.17935972626416474,0.7391767261918375,ALB,0.2,0.0,0.0,0.0,0.0,0.1852799860314327,50.0,0.06098260900000001,0.06098260900000001,0.2,0.2,0.0885,0.34785342034203415,0.8111076768500345,0.31325,0.5356497092899941,0,3,40,0.2,1.5,Albania,1.1290128729346023,0.0731791308,0.05793347855,0.34785342034203415,0.63,0.31325,0.0,0.0,0.0,0.2629495641629598,0.17935972626416474,11189.84936861187,15945.823206048717,0.18852684262310504,1108.6545332273224,3212177950.318714,4407.716271172496,11349.246839473812,11189.84936861187,15945.823206048717,0.14471763138983018,0.003999745663127675,0.0005788337185295828,79755.60082387908,0.007557042938976037,0.6357897217012625,0.6612751653664991,0.6612751653664991,0.591046644106905,1676.5404044969266,34.87488065270247,0.0035011633552165427,101045293.45719795,3894270.144885102,97151023.31231284
Algeria,12892.942492651599,39208194.0,,0.927675170898438,0.0980000019073486,0.006872764,0.06935566,0.969,0.251247841677351,,,0.8588760791613246,DZA,0.2,0.6000000000000001,0.8,1.0,0.0,,50.0,0.037014775,0.037014775,0.2,0.2,,,,0.12925925925925924,0.5356497092899941,0,3,40,0.2,1.5,Algeria,,0.044417729999999996,0.035164036249999996,,,,0.5,0.325,0.325,,,,,,,,,,,,0.10381625061586201,,,103231.65283218422,,,,,,,,,,,
American Samoa,,55165.0,,,,,,1.0,,,,,ASM,0.2,0.0,0.0,0.0,0.0,,50.0,0.0,0.0,0.2,0.2,,,,0.1275,0.5356497092899941,0,3,40,0.2,1.5,American Samoa,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,79218.0,,,,,,,0.184011425406826,,,,ADO,0.2,0.0,0.0,0.0,0.0,,100.0,0.147671757,0.147671757,0.2,0.2,,,,0.11000000000000001,0.5356497092899941,0,3,40,0.2,1.5,Andorra,,0.17720610839999998,0.14028816914999998,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,7488.01175983409,21471618.0,0.054000000000000006,0.31872850418090803,0.0680000019073486,0.09179081,0.20126910000000006,0.473,0.244036932751657,,,0.6144815336241716,AGO,0.2,0.0,0.0,0.0,0.4,0.43239739052511456,50.0,0.01003203,0.01003203,0.2,0.2,0.054000000000000006,0.5134068500259472,0.22709698939186396,0.5050000000000001,0.5356497092899941,0,3,40,0.2,1.5,Angola,1.3646820745744097,0.012038436000000001,0.0095304285,0.5134068500259472,0.63,0.505,0.2,0.05,0.05,,,,,,85.93808136321618,1845229654.6838973,2021.7631751552044,8854.57390600381,,,0.37826332136742297,,,59955.268615762536,,,,,0.5251373641521104,,,,,,
Antigua and Barbuda,20353.2908243918,89985.0,,0.913220672607422,,,,1.0,0.26712282489765604,,,0.866438587551172,ATG,0.2,0.0,0.0,0.0,0.0,0.40051064160860556,100.0,0.0,0.0,0.2,0.2,,,,0.12175000000000001,0.5356497092899941,0,3,40,0.2,1.5,Antigua and Barbuda,1.3342725424111874,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,162965.4249659168,,,,,,,,,,,
Arab World,15426.846787221699,369762523.0,,0.832042694091797,0.114136838041252,,,0.7779512045595791,0.3235293486562349,,,0.7272109279516721,,0.2,0.0,0.0,0.0,0.0,,,,,0.2,0.2,,,,,0.5356497092899941,0,3,40,0.2,1.5,Arab World,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.18496107199926096,,,123520.2043863488,,,,,,,,,,,
Argentina,18087.196261682242,41446246.0,0.0458,0.970972366333008,0.075,0.004365798,0.06037133,0.982,0.210991454510741,0.2001534455359978,0.14264750646937888,0.8855042727446295,ARG,0.2,0.8,0.6666666666666667,0.4,0.06666666666666667,0.2695495148851759,50.0,0.069562407,0.069562407,0.2,0.2,0.0458,0.3235781891934058,0.946979187844589,0.305,0.5356497092899941,0,3,40,0.2,1.5,Argentina,1.2093784490793296,0.0834748884,0.06608428665,0.2718056789224609,0.5292,0.25620000000000004,0.23333333333333334,0.22500000000000003,0.22500000000000003,0.3801189202903984,0.3355518175137687,5165.681665019041,14079.250026705606,0.10525924881221727,1219.8109502363418,50556584716.98918,4141.967943925233,21573.503341121494,6569.98787804244,17773.368871273156,0.07284112030745417,0.003436468171121125,0.00025031619148537085,144821.18153073013,0.0024252223548857734,0.5206847512421559,0.5326815715958088,0.4921351982068474,0.4520903986318114,2289.943965176098,46.854106916952595,0.002590457152069119,1941926841.3903189,43735223.25223877,1898191618.1380801
Armenia,7526.83641911287,2976566.0,0.0877,0.9561711120605472,0.16200000762939498,0.001895716,0.01239363,0.995,0.546947124395628,0.5050600974072442,0.2457265032536369,0.7240264378021859,ARM,0.2,0.4,0.4,0.4,0.0,0.3666957212217474,10.0,0.039878871,0.039878871,0.2,0.2,0.0877,0.12442674974920903,0.044791415527804634,0.12375,0.5356497092899941,0,3,40,0.2,1.5,Armenia,1.3020241651371849,0.047854645200000004,0.03788492745,0.1144726097692723,0.11960000000000001,0.11384999999999998,0.2,0.15000000000000002,0.15000000000000002,0.5793010827961576,0.3588675277655914,481.28328637829236,1744.8109045824965,0.022599991963943467,91.07178045168362,271081165.2519461,3300.5177697809936,8583.41608144584,557.5618539894741,2034.902057061212,0.16060081925555397,8.489319369947896e-05,1.3633916457356753e-05,60266.13122530874,0.00020476825792590804,0.6837075952337749,0.6899023590828105,0.6877352310277304,0.6763990763627317,132.00676770080747,13.320282104010293,0.0017697052735444264,39648698.8212055,356013.1703933229,39292685.65081218
