ADMIN,ISO_A3,FPU_ID,LSsum,PY5sum,PY5per,PY10sum,PY10per,PY25sum,PY25per,PY50sum,PY50per,PY100sum,PY100per,PY250sum,PY250per,PY500sum,PY500per,PY1000sum,PY1000per
Afghanistan,AFG,20,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,172,2791282,34094,0.012214459,73400,0.026296161,102266,0.036637645,104100,0.037294691,105534,0.037808434,105828,0.037913761,116724,0.041817344,117383,0.042053436
Afghanistan,AFG,188,7392882,322025,0.043558791,461759,0.062459945,539858,0.073024025,565776,0.07652983,599214,0.081052829,635334,0.08593861,651817,0.088168187,680372,0.092030686
Afghanistan,AFG,205,135807,47,0.000346079,74,0.000544891,1243,0.009152695,1364,0.010043665,1364,0.010043665,4447,0.032744998,4854,0.035741898,4854,0.035741898
Afghanistan,AFG,206,21637,1659,0.076674215,1798,0.083098396,1907,0.088136063,2256,0.104265841,2275,0.105143966,2499,0.115496603,2754,0.127281971,2905,0.134260757
Afghanistan,AFG,471,8983282,354062,0.039413435,603287,0.067156636,767874,0.085478114,876663,0.097588276,890402,0.099117672,915053,0.101861769,933579,0.103924045,987919,0.109973059
Afghanistan,AFG,491,11080845,1249869,0.112795459,1412223,0.12744723,1485811,0.13408824,1500814,0.135442198,1508530,0.136138535,1598920,0.144295855,1641715,0.148157925,1656479,0.149490314
Akrotiri Sovereign Base Area,-99,171,5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aland,ALA,95,23355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,15,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,169,2982196,131815,0.044200649,182976,0.061356128,213600,0.071625071,216488,0.072593485,219878,0.073730231,222965,0.074765374,224820,0.075387399,230208,0.077194121
Algeria,DZA,23,339539,22,6.47937E-05,22,6.47937E-05,22,6.47937E-05,22,6.47937E-05,22,6.47937E-05,22,6.47937E-05,22,6.47937E-05,22,6.47937E-05
Algeria,DZA,25,4205178,25110,0.00597121,100258,0.023841559,144213,0.034294149,144781,0.03442922,149042,0.035442495,159081,0.03782979,161648,0.038440228,163960,0.038990026
Algeria,DZA,174,30495409,928558,0.030449108,1006798,0.03301474,1127551,0.036974451,1162076,0.038106588,1202882,0.039444691,1225553,0.040188115,1253884,0.04111714,1280635,0.041994354
Algeria,DZA,181,835175,12315,0.014745413,13009,0.015576376,13009,0.015576376,13580,0.016260065,13607,0.016292394,13607,0.016292394,13607,0.016292394,14899,0.017839375
Algeria,DZA,186,5928,0,0,8,0.001349528,8,0.001349528,8,0.001349528,8,0.001349528,8,0.001349528,8,0.001349528,8,0.001349528
Algeria,DZA,196,56152,488,0.008690697,743,0.013231942,743,0.013231942,755,0.013445648,766,0.013641544,766,0.013641544,766,0.013641544,792,0.014104573
Algeria,DZA,199,45626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,227,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,233,1008035,26978,0.02676296,66248,0.06571994,69731,0.069175177,82483,0.081825532,82568,0.081909854,82655,0.081996161,82720,0.082060643,82742,0.082082467
Algeria,DZA,238,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,239,3408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,258,9450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,501,114637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,505,19544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,511,5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,137,78909,10584,0.134129187,10584,0.134129187,23010,0.291601718,23010,0.291601718,23010,0.291601718,23010,0.291601718,23010,0.291601718,23010,0.291601718
Andorra,AND,151,5652,746,0.131988677,1829,0.323602265,1829,0.323602265,1829,0.323602265,1829,0.323602265,1829,0.323602265,1829,0.323602265,1829,0.323602265
Angola,AGO,33,2656,204,0.076807229,211,0.079442771,263,0.099021084,268,0.100903614,306,0.115210843,343,0.129141566,383,0.144201807,384,0.144578313
Angola,AGO,34,804468,21189,0.026339146,22570,0.028055808,26774,0.033281622,27325,0.033966547,28700,0.035675751,29781,0.037019496,32946,0.040953773,33540,0.041692149
Angola,AGO,35,506177,7712,0.015235777,8273,0.016344085,11303,0.022330134,12922,0.025528619,13942,0.027543725,15191,0.030011241,15813,0.03124006,17151,0.033883404
Angola,AGO,36,1390,55,0.039568345,58,0.041726619,68,0.048920863,90,0.064748201,105,0.075539568,111,0.079856115,115,0.082733813,121,0.08705036
Angola,AGO,41,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004761905,1,0.004761905
Angola,AGO,344,293857,3251,0.011063204,3296,0.01121634,3370,0.011468163,3535,0.012029661,3696,0.012577546,3915,0.013322807,3955,0.013458927,4004,0.013625675
Angola,AGO,382,13769270,186414,0.013538408,197148,0.01431797,212633,0.015442576,220538,0.016016681,231044,0.016779684,248885,0.018075395,261780,0.019011901,268707,0.019514978
Angola,AGO,388,244562,7009,0.028659399,12283,0.050224483,13329,0.054501517,14993,0.061305518,15489,0.063333633,16975,0.069409802,17487,0.071503341,18474,0.075539127
Angola,AGO,531,1868709,32475,0.017378308,33863,0.018121066,36103,0.019319755,37056,0.019829733,37980,0.020324192,38865,0.020797781,39542,0.021160063,40201,0.021512713
Angola,AGO,540,523865,1504,0.002870969,1620,0.0030924,1698,0.003241293,1739,0.003319558,1853,0.003537171,1925,0.003674611,1967,0.003754784,2017,0.003850229
Angola,AGO,541,0.009738586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,244,82329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,395,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,396,66968,1,1.49325E-05,24,0.00035838,38,0.000567435,49,0.000731693,49,0.000731693,49,0.000731693,51,0.000761558,51,0.000761558
Argentina,ARG,403,915587,20103,0.021956406,33234,0.036298025,49158,0.053690146,55393,0.060499985,61755,0.067448533,72643,0.079340358,88296,0.096436494,104518,0.114154089
Argentina,ARG,405,13318604,737931,0.055406032,910390,0.068354762,1064174,0.079901317,1150288,0.08636701,1222543,0.091792128,1326708,0.099613143,1434184,0.107682757,1517391,0.113930184
