country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth
Afghanistan,1883.7633205312,30551674.0,0.094,,0.08,0.0,0.04701794000000001,0.386,0.737918301689184,0.11107429685686761,0.04316252283353993,0.324040849155408
Albania,9960.94072581355,2897366.0,0.0885,0.986670379638672,0.16,0.07585278999999999,0.092387,0.993,0.514646547616325,0.2629495641629598,0.17935972626416477,0.7391767261918375
Algeria,12892.942492651599,39208194.0,,0.9276751708984379,0.0980000019073486,0.006872764,0.06935566,0.9690000000000001,0.251247841677351,,,0.8588760791613246
American Samoa,,55165.0,,,,,,1.0,,,,
Andorra,,79218.0,,,,,,,0.18401142540682602,,,
Angola,7488.01175983409,21471618.0,0.054000000000000006,0.31872850418090803,0.0680000019073486,0.09179081,0.20126910000000003,0.473,0.244036932751657,,,0.6144815336241716
Antigua and Barbuda,20353.2908243918,89985.0,,0.913220672607422,,,,1.0,0.26712282489765604,,,0.866438587551172
Arab World,15426.846787221699,369762523.0,,0.832042694091797,0.11413683804125199,,,0.7779512045595791,0.32352934865623495,,,0.7272109279516721
Argentina,18087.196261682242,41446246.0,0.0458,0.970972366333008,0.075,0.004365798,0.06037133,0.982,0.210991454510741,0.20015344553599781,0.14264750646937888,0.8855042727446295
Armenia,7526.83641911287,2976566.0,0.0877,0.9561711120605471,0.16200000762939498,0.001895716,0.01239363,0.995,0.546947124395628,0.5050600974072442,0.2457265032536369,0.724026437802186
Aruba,36016.4837574639,102911.0,,0.9311888122558589,,,,0.96,,,,
Australia,42834.0167597384,23129300.0,0.0703,0.998382568359375,0.0569999980926514,0.5201536,0.6854684,1.0,0.194171489728757,,,0.9029142551356215
Austria,44056.254416802,8479823.0,0.08460000000000001,0.9973828125,0.0490000009536743,0.4380794,0.5678905000000001,1.0,0.158064275956296,,,0.920967862021852
Azerbaijan,16593.1887600482,9416801.0,0.08130000000000001,0.9818643188476558,0.055,0.001134416,0.024682880000000004,0.9940000000000001,0.710592353544924,0.8571289621356334,0.38777251599754,0.641703823227538
"Bahamas, The",22517.995142032796,377374.0,,0.8949990081787109,0.136000003814697,,,0.99,0.30211059551319197,,,0.843944702243404
Bahrain,42444.2784449127,1332171.0,,0.978074264526367,0.07400000095367429,0.1536534,0.17169779999999998,0.995,0.146060459328656,,,0.924469770335672
Bangladesh,2853.4477401556605,156594962.0,0.0888,0.6620095825195311,0.043000001907348595,0.1456589,0.1823108,0.344,0.602287568924825,0.05676295243871604,0.0553770944413467,0.37085621553758746
Barbados,15298.7155167979,284644.0,,0.9337465667724609,0.121999998092651,,,1.0,0.31899663942823897,,,0.8405016802858805
Belarus,17054.5583344525,9466000.0,0.09369999999999999,0.986681365966797,0.05800000190734861,0.04172604,0.08594028,1.0,0.31856300870952897,0.4917469369193375,0.31017039879218267,0.8407184956452355
Belgium,40608.9720093428,11182817.0,0.08349999999999999,0.865133590698242,0.0839999961853027,0.4380374,0.4174232,1.0,0.199116577128342,,,0.900441711435829
Belize,8214.653712573629,331900.0,,0.909105377197266,0.146000003814697,,,0.9620000000000001,0.261955113517451,0.420367529660433,0.11287637643952123,0.8500224432412746
Benin,1733.30939936435,10323474.0,0.061399999999999996,0.532349014282227,0.01,0.01619615,0.1062553,0.809,0.408636505009212,0.04725879624981513,0.07452986615849086,0.700181747495394
Bermuda,52118.640227698204,65024.0,,0.8424221038818359,,,,,,,,
Bhutan,7167.20580923455,753947.0,0.0675,0.7885830688476559,0.020999999046325702,,,0.645,0.25409259310633603,,,0.695453703446832
Bolivia,5934.38797771874,10671200.0,0.0332,0.967308197021484,0.025999999046325696,0.08907469000000001,0.22580279999999997,0.8404,0.19813271829565499,0.3472089336125369,0.22686933124290842,0.8211336408521726
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.0747,0.8277214813232421,0.283999996185303,0.03455922,0.07855196,0.9990000000000001,0.290359088854402,0.21952171315065594,0.12545992207249582,0.854320455572799
Botswana,15246.6087973119,2021144.0,0.028399999999999998,0.929721221923828,0.183999996185303,0.08854125,0.2164499,0.946,0.05434369771217001,0.2327888197915706,0.04377653874540727,0.945828151143915
Brazil,14555.0821953115,200361925.0,0.0339,0.806246566772461,0.05900000095367429,0.0636212,0.1296786,0.9808,0.299612416351158,0.22567230651126025,0.20561131320709558,0.8405937918244211
Brunei Darussalam,69474.17897293,417784.0,,0.963691864013672,0.037999999523162804,,,0.9990000000000001,0.0794413769899421,,,0.959779311505029
Bulgaria,15695.0177942759,7265115.0,0.0641,0.969386520385742,0.128999996185303,0.014634659999999999,0.07025403,0.995,0.396330201442252,0.4612280619455438,0.22424749942962993,0.799334899278874
Burkina Faso,1630.4444967271697,16934839.0,0.0672,0.6907449340820311,0.030999999046325697,0.0373907,0.10709830000000001,0.659,0.332343755139197,0.49467539015609324,0.3235166050780195,0.6633281224304015
