mookid,total_losses,quintile,asset_cost,losses/asset_cost
178,,1,,
457,25700,2,12800,2.0078125
699,20000,1,10700,1.869158864
930,32200,2,33500,0.961194038
183,25800,1,20700,1.246376753
184,61800,4,40900,1.511002421
933,11000,1,28000,0.392857134
359,13500,4,14000,0.964285731
8,6500,1,1400,4.642857075
464,17000,1,7700,2.207792282
936,39150,1,,
465,18500,2,13900,1.33093524
191,48900,1,19000,2.573684216
469,19000,,17800,1.067415714
713,52650,2,17000,3.097058773
473,40800,1,29300,1.39249146
198,8400,1,10000,0.839999974
474,37500,2,17300,2.167629957
475,63500,2,37000,1.716216207
716,115000,3,7500,15.33333302
478,20250,1,6300,3.214285612
479,2000,1,,
721,15450,1,53500,0.28878504
481,22500,1,32000,0.703125
956,26000,,,
382,13500,1,13500,1
211,86000,1,40700,2.113022089
213,61700,1,26200,2.354961872
961,13300,,,
214,67600,1,25200,2.682539701
731,50000,2,25000,2
217,62000,1,50000,1.24000001
38,28900,1,17300,1.670520186
968,6300,,1200,5.25
970,50800,,4000,12.69999981
223,72000,2,43600,1.651376128
740,43600,2,48000,0.908333361
44,25500,1,58000,0.439655185
500,7200,1,10500,0.685714304
225,17500,1,10700,1.635514021
226,26500,1,59000,0.449152529
744,15500,1,16500,0.939393938
401,43300,3,36000,1.202777743
402,59500,4,25600,2.32421875
229,74600,1,30700,2.429967403
746,80000,1,,
404,44200,1,1700,26
234,13900,1,5200,2.673076868
410,57500,1,25000,2.299999952
237,500,1,16500,0.030303029
59,2200,1,3000,0.733333349
412,126500,4,26000,4.865384579
988,80200,,,
758,31250,1,15000,2.083333254
990,60000,,,
760,2000,1,7500,0.266666681
64,,1,5500,
244,15000,1,11700,1.282051325
246,47000,3,90000,0.522222221
994,63650,,,
764,22000,1,13000,1.692307711
248,30000,1,18000,1.666666627
249,111000,3,32000,3.46875
424,49000,4,22000,2.227272749
252,159000,4,56000,2.839285612
426,3250,1,550,5.909090996
529,45000,1,30000,1.5
772,37300,2,97500,0.382564098
533,20500,1,14200,1.443661928
431,24000,2,20000,1.200000048
776,3000,1,23500,0.127659574
1011,47000,1,60000,0.783333361
783,1700,1,13500,0.125925928
440,25500,1,8300,3.072289228
785,550,,250,2.200000048
787,35500,,30100,1.179401994
1019,65400,,,
272,17500,4,32000,0.546875
1022,1600,2,20000,0.079999998
1024,11000,2,22700,0.4845815
1025,500,1,4000,0.125
451,8260,1,3800,2.17368412
1027,700,3,38000,0.018421054
280,105200,2,29900,3.518394709
1028,45500,2,85600,0.531542063
557,163500,4,136000,1.202205896
282,31000,1,16000,1.9375
1031,17250,3,15500,1.112903237
561,84000,4,34500,2.434782505
1034,1500,1,,
804,31000,1,26700,1.161048651
1035,15650,1,2450,6.387754917
1036,15500,1,16250,0.953846157
806,16950,,,
567,38500,1,34450,1.117561698
571,67700,4,24200,2.797520638
1043,2400,2,38700,0.062015504
1044,19500,2,10000,1.950000048
575,134000,5,80500,1.664596319
1047,21600,2,,
576,96500,4,35500,2.718309879
1048,1400,2,7650,0.18300654
301,2000,1,,
1049,10500,1,21900,0.479452044
1052,16000,1,,
305,129000,3,67000,1.925373077
581,109000,4,39000,2.794871807
1053,41000,2,14000,2.928571463
582,63000,5,36500,1.726027369
583,115000,4,46500,2.473118305
585,60000,1,30100,1.993355513
588,50000,4,10000,5
1060,21580,1,22400,0.963392854
590,35000,4,39700,0.881612062
822,6000,,,
1062,16100,1,8500,1.894117594
591,45000,4,28700,1.567944288
1063,110000,1,7500,14.66666698
592,31000,4,5000,6.199999809
595,88000,4,4002,21.98900604
828,45420,,,
597,76700,3,34000,2.255882263
1071,41500,1,18000,2.305555582
600,99000,4,50450,1.962338924
602,99800,4,44500,2.242696524
834,16400,,,
147,37500,1,64400,0.58229816
835,10250,,,
328,32000,2,102951,0.310827494
604,97000,4,59500,1.630252123
838,18450,,,
608,97000,4,50250,1.930348277
840,15000,,7000,2.142857075
153,41600,1,48300,0.86128366
842,26500,,,
611,69000,4,47000,1.468085051
158,1010400,1,5000,202.0800018
615,18000,5,21000,0.857142866
848,43500,,9700,4.484536171
617,59000,4,18000,3.277777672
849,6300,,,
850,55250,,500,110.5
344,50000,1,45500,1.098901153
852,7500,,12700,0.590551198
1093,180000,1,480000,0.375
346,210550,1,32950,6.389984608
624,100200,4,16500,6.072727203
625,114000,4,33000,3.454545498
858,8880,2,16850,0.52700299
351,77000,1,74850,1.028724074
859,3220,1,12070,0.266777128
628,51000,4,15000,3.400000095
176,34500,1,13500,2.555555582
177,64000,1,19700,3.248730898
633,57000,5,36000,1.583333373
636,55000,1,26000,2.115384579
637,91600,2,33450,2.73841548
638,73000,3,27000,2.703703642
639,22500,3,17000,1.323529363
640,89500,3,37500,2.386666775
1112,13800,1,21300,0.647887349
873,5100,2,28200,0.180851057
643,40900,1,10400,3.932692289
647,43000,1,20000,2.150000095
881,5700,4,19700,0.289340109
885,3000,2,24000,0.125
886,14000,3,60000,0.233333334
1126,9300,1,1900,4.894736767
655,49700,1,21800,2.279816628
887,5200,1,25500,0.203921571
656,58300,1,11800,4.94067812
888,16000,5,38500,0.415584415
1128,6100,1,3200,1.90625
889,3900,4,21300,0.183098599
894,28750,3,50000,0.574999988
898,97500,1,21500,4.534883499
667,26000,1,35000,0.742857158
899,17000,3,87200,0.194954127
668,14200,1,23000,0.617391288
669,25150,2,11100,2.265765667
902,3500,1,33200,0.105421685
904,21920,,,
905,28900,,,
