country,nb_missing,missing_data
Togo,1,social_p
Djibouti,1,unemp
Nicaragua,1,avg_prod_k
Iraq,1,plgp
Russian Federation,2,"social_p, social_r"
Chad,2,"social_p, social_r"
Ghana,2,"social_p, social_r"
Chile,2,"social_p, social_r"
Fiji,2,"axfin_p, axfin_r"
Afghanistan,2,"plgp, avg_prod_k"
Central African Republic,2,"social_p, social_r"
India,2,"social_p, social_r"
"Macedonia, FYR",2,"social_p, social_r"
Mauritania,2,"social_p, social_r"
Mozambique,2,"axfin_p, axfin_r"
Lesotho,2,"social_p, social_r"
Kazakhstan,2,"social_p, social_r"
Sudan,2,"social_p, social_r"
Japan,2,"social_p, social_r"
Indonesia,2,"social_p, social_r"
"Venezuela, RB",2,"social_p, social_r"
Uzbekistan,2,"social_p, social_r"
Angola,2,"social_p, social_r"
"Iran, Islamic Rep.",2,"social_p, social_r"
Haiti,2,"plgp, avg_prod_k"
Morocco,2,"social_p, social_r"
Tajikistan,2,"social_p, social_r"
Guinea,2,"social_p, social_r"
Swaziland,2,"social_p, social_r"
Burundi,2,"social_p, social_r"
Montenegro,2,"social_p, social_r"
Timor-Leste,3,"axfin_p, axfin_r, avg_prod_k"
China,3,"plgp, social_p, social_r"
Switzerland,3,"plgp, axfin_p, axfin_r"
Israel,4,"bashs, social_p, social_r, axhealth"
"Gambia, The",4,"axfin_p, axfin_r, social_p, social_r"
Norway,4,"axfin_p, axfin_r, bashs, axhealth"
Namibia,4,"axfin_p, axfin_r, social_p, social_r"
Tunisia,4,"axfin_p, axfin_r, social_p, social_r"
Bhutan,4,"axfin_p, axfin_r, social_p, social_r"
Ethiopia,4,"axfin_p, axfin_r, social_p, social_r"
Iceland,4,"axfin_p, axfin_r, bashs, axhealth"
Portugal,5,"share1, plgp, share1_ref, v, pv"
Luxembourg,5,"share1, plgp, share1_ref, v, pv"
Cote d'Ivoire,6,"axfin_p, axfin_r, social_p, social_r, iso3, protection"
Kuwait,6,"share1, social_p, social_r, share1_ref, v, pv"
"Korea, Rep.",6,"share1, social_p, social_r, share1_ref, v, pv"
Oman,6,"share1, social_p, social_r, share1_ref, v, pv"
Belize,6,"share1, axfin_p, axfin_r, share1_ref, v, pv"
Guinea-Bissau,6,"plgp, axfin_p, axfin_r, social_p, social_r, avg_prod_k"
Lebanon,6,"share1, social_p, social_r, share1_ref, v, pv"
Saudi Arabia,6,"share1, social_p, social_r, share1_ref, v, pv"
New Zealand,7,"share1, plgp, social_p, social_r, share1_ref, v, pv"
Turkmenistan,7,"share1, plgp, social_p, social_r, share1_ref, v, pv"
United Arab Emirates,7,"share1, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Algeria,7,"share1, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Papua New Guinea,8,"share1, plgp, axfin_p, axfin_r, avg_prod_k, share1_ref, v, pv"
Suriname,8,"share1, axfin_p, axfin_r, social_p, social_r, share1_ref, v, pv"
Zimbabwe,8,"share1, ophe, social_p, social_r, axhealth, share1_ref, v, pv"
Brunei Darussalam,8,"share1, axfin_p, axfin_r, social_p, social_r, share1_ref, v, pv"
Equatorial Guinea,8,"share1, axfin_p, axfin_r, social_p, social_r, share1_ref, v, pv"
Cuba,9,"share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Eritrea,9,"share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Guyana,9,"share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Libya,10,"share1, plgp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Myanmar,10,"gdp_pc_pp, share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Kosovo,11,"share1, plgp, unemp, bashs, ophe, axhealth, avg_prod_k, share1_ref, v, pv, v_s"
South Sudan,11,"share1, plgp, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv"
Comoros,11,"fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv"
