iso3,country,resilience,risk,risk_to_assets,resilience_color,risk_color,risk_to_assets_color
ALB,Albania,0.71021,0.011859999999999999,0.00842,#fcae91,#756bb1,#08519c
ARG,Argentina,0.52881,0.0021100000000000003,0.0011099999999999999,#fb6a4a,#9e9ac8,#6baed6
ARM,Armenia,0.6907800000000001,0.00134,0.0009199999999999999,#fcae91,#9e9ac8,#6baed6
AUS,Australia,0.71335,0.0007599999999999999,0.00054,#fcae91,#9e9ac8,#6baed6
AUT,Austria,0.6923699999999999,0.00014,0.0001,#fcae91,#f2f0f7,#eff3ff
AZE,Azerbaijan,0.58697,0.00121,0.0007099999999999999,#fb6a4a,#9e9ac8,#6baed6
BGD,Bangladesh,0.6420600000000001,0.0076,0.00488,#fcae91,#756bb1,#3182bd
BLR,Belarus,0.68297,0.0019199999999999998,0.00131,#fcae91,#9e9ac8,#6baed6
BEL,Belgium,0.76508,0.00045,0.00033999999999999997,#fee5d9,#cbc9e2,#bdd7e7
BEN,Benin,0.41663999999999995,0.02045,0.00852,#de2d26,#54278f,#08519c
BOL,Bolivia,0.48158999999999996,0.007259999999999999,0.0035,#de2d26,#756bb1,#3182bd
BIH,Bosnia and Herzegovina,0.54269,0.015009999999999999,0.008140000000000001,#fb6a4a,#54278f,#08519c
BWA,Botswana,0.55403,0.0050100000000000006,0.00278,#fb6a4a,#756bb1,#3182bd
BRA,Brazil,0.58076,0.00755,0.00439,#fb6a4a,#756bb1,#3182bd
BGR,Bulgaria,0.67238,0.00209,0.00141,#fcae91,#9e9ac8,#6baed6
BFA,Burkina Faso,0.70827,0.008159999999999999,0.0057799999999999995,#fcae91,#756bb1,#3182bd
KHM,Cambodia,0.48058999999999996,0.02441,0.011729999999999999,#de2d26,#54278f,#08519c
CMR,Cameroon,0.30463,0.00606,0.0018399999999999998,#a50f15,#756bb1,#6baed6
CAN,Canada,0.6956,0.00022,0.00015,#fcae91,#cbc9e2,#bdd7e7
COL,Colombia,0.25384,0.0040100000000000005,0.0010199999999999999,#a50f15,#756bb1,#6baed6
COD,"Congo, Dem. Rep.",0.60054,0.04852,0.02914,#fb6a4a,#54278f,#08519c
COG,"Congo, Rep.",0.34942,0.01107,0.00387,#a50f15,#756bb1,#3182bd
CRI,Costa Rica,0.45414,0.0006799999999999999,0.00031,#de2d26,#cbc9e2,#bdd7e7
HRV,Croatia,0.74645,0.00118,0.00088,#fcae91,#9e9ac8,#6baed6
CZE,Czech Republic,0.75984,0.00135,0.00103,#fee5d9,#9e9ac8,#6baed6
DNK,Denmark,0.77855,0.00014,0.00011,#fee5d9,#f2f0f7,#bdd7e7
