country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,resilience,share1,shew,social_p,social_r,unemp,v,v_s,v_shew
Albania,-0.00046028998988353886,0.00046232795391024095,9.84034629388647e-06,0.001994832843762659,-0.00021038151427291846,-0.00027461401468868024,-0.001021913581882375,0.16807038307780145,-0.0005165415325070893,0.0035110981748747924,0.0,-0.001021913581882375,-0.0010330184160257591,-0.000794898197719468,0.0018691315031302627,-0.0005165415325070893,-0.017396200745803527,-0.02244263352134141,-0.0026989201147306977,-0.0038740854860974325,-0.001348771758872061,0.001021913581882375,0.033341308467128676,0.007110132756495309,0.03334130846712865
Argentina,-4.0305396766015036e-05,0.00011471832471400718,1.0230923848993795e-06,0.0004437086264282974,-3.2958859552375055e-05,-1.4168025848663654e-05,-0.00021108796294743402,0.028653179644747655,-9.972669404601647e-05,0.0007213538376620466,-0.0020590793762631596,-0.00021108796294743402,-0.00019944517787979198,-3.198501397788135e-05,0.00044570631679277314,-9.972669404601647e-05,-0.0038956488837650566,-0.01178219321248345,-0.0005147999015144532,-0.0006945826611141036,-7.299132343614907e-05,0.00021108796294721718,0.0050046321054830496,0.0017914527914197117,0.0059578953636702445
Armenia,-9.535560694978913e-05,0.00010743384886596243,2.5035266546478974e-07,0.0003918856378576233,-1.641311465428244e-06,-9.770415478841527e-06,-2.342770234471485e-05,0.03851629905980681,-8.496551422826869e-06,0.00016078599058405845,-0.0006483571063803937,-2.342770234471485e-05,-1.6989866100255123e-05,-0.0001276381925814033,0.00012302876137271733,-8.496551422826869e-06,-0.0021179566817225107,-0.0021942506682827477,-0.0003241816161101774,-3.391902243441141e-05,-5.0007707161217954e-05,2.342770234482327e-05,0.0066458854040085755,0.005373651504995709,0.007223788482618039
Australia,-5.810548390312517e-06,4.132922356686044e-05,3.6891039431174305e-08,0.00015931499655218086,-9.400145228183332e-07,-3.854064683985348e-06,-1.0682426486300408e-05,0.0178564559176416,-1.0489306360506653e-05,0.00011982821028944275,-0.0009304601097518458,-1.0682426486300408e-05,-2.097665417879818e-05,-7.320891774363018e-06,4.2838283152539514e-05,-1.0489306360506653e-05,-0.0010262018420661332,-0.001693125426536872,-0.00018609812663821813,-7.721431839405194e-05,-1.789672549658847e-05,1.0682426486408828e-05,0.0007464366712356114,0.0009555356801489679,0.0009330458390445199
Austria,-1.0473303693351926e-06,6.12771347186414e-06,8.794274065481583e-09,2.4599607310660026e-05,-6.386861536199955e-07,-8.704298843113453e-08,-3.0348645468978967e-06,0.0016195785178244378,-5.932618289152241e-06,4.3043309076579964e-05,0.0,-3.0348645468978967e-06,-1.186501956912747e-05,-2.1323149292811795e-07,1.326783454740218e-05,-5.932618289152241e-06,-0.00018493151072479858,-0.00036460891052216807,-2.6229977633199122e-05,-8.470066023337248e-05,-1.3849296160838714e-06,3.0348645469114493e-06,0.0005336942368127886,0.0003691087179749262,0.0005336942368127882
Azerbaijan,-9.21561927489864e-05,0.00015339190788735135,2.502393035624592e-07,0.0005273061532924455,-6.614177098813318e-08,-1.1500204979931691e-05,-2.615109044937225e-05,0.024770907630237267,-5.6329432191826526e-06,0.00016335776222952802,0.0,-2.615109044937225e-05,-1.1263917259422135e-05,-0.00010136902449853127,2.4658234829000314e-06,-5.6329432191826526e-06,-0.0024096708664026454,-0.0023690828985019775,-0.00028786006099851356,-2.538313584939545e-05,-6.247593650168977e-05,2.615109044926383e-05,0.005083450525474151,0.006526107711478271,0.005083450525474182
Bangladesh,-0.0009732256481057022,0.00042540757268704973,1.2904993438884321e-05,0.0016197280514038993,-0.00034527675963095736,-0.0003508139953729318,-0.0005760036039127031,0.034427196042627076,-0.00041398999908563716,0.001790793366624778,-0.007871885274487404,-0.0005760036039127031,-0.000827921783563227,-0.00015056922597145653,0.001236018496518932,-0.00041398999908563716,-0.011723689328353985,-0.013944814073229943,-0.001968151521117463,-0.0016201377898957328,-0.0007772506594246227,0.0005760036039131368,0.016156659834668484,0.00599968888560223,0.019234118850795644
Belarus,-7.90832808484146e-05,0.00015504566025872392,4.754001879658798e-07,0.000561033738342466,-1.633166358768791e-05,-6.327727698589303e-06,-9.294933177588123e-05,0.056493772222806875,-7.897262046000983e-05,0.00048042677445753884,-0.0019595945580535602,-9.294933177588123e-05,-0.00015793990995366554,-0.00013918285360174643,0.00016103271656040495,-7.897262046000983e-05,-0.0029452457609991122,-0.004117134341027982,-0.000489913026754463,-0.0007993275639099195,-3.862698936749065e-05,9.294933177588123e-05,0.00433547503676259,0.004271399899377637,0.005161279805669789
Belgium,-7.804892903848226e-06,1.8040188928288145e-05,2.7117422565260674e-08,7.387965169426995e-05,-1.2758983120790372e-06,-8.679069389170777e-07,-3.839619234347448e-06,0.0040778131203868945,-9.56868608577733e-06,9.148443777228237e-05,0.0,-3.839619234347448e-06,-1.9136934117420677e-05,-1.928523690053344e-06,2.8203751647288763e-05,-9.56868608577733e-06,-0.0005368356041799777,-0.0009189371093825316,-8.349978979001757e-05,-0.0001822194292218013,-7.548562386137025e-06,3.8396192343745535e-06,0.0015471579954341903,0.0014936962940587952,0.001547157995434189
Benin,0.002103546557219449,0.0016104892771318102,8.351892051214338e-05,0.005978913405934455,-0.0019481468790279177,-0.002068802334373454,-0.004843375578765172,0.5899465948165025,-0.0010888674828405526,0.0038574767158294776,0.0,-0.004843375578765172,-0.0021776461811614384,-0.004071865087924495,0.012286107247941672,-0.0010888674828405526,-0.06207518175960019,-0.10676473670280517,-0.005750785437482961,-0.004886814432088563,-0.004378743040553759,0.004843375578766906,0.04571099285107828,0.002006656395334497,0.04571099285107824
