country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,resilience,share1,shew,social_p,social_r,unemp,v,v_s,vshew
Malawi $(\alpha=-70\%)$,-0.0006575827255980715,-0.0006589028720208057,1.78515716098282e-05,0.0023125251241706835,-0.0005672493941580314,-0.00029710506086605415,-0.001183502688559268,0.3547365303771185,-0.00054363747947761,0.0029577649104245425,-0.008380492488163638,-0.001183502688559268,-0.0010872577494575042,-0.0025880730617627856,0.0019065196522199954,-0.00054363747947761,-0.0102,-0.040951130581348694,-0.0020951225076018543,-0.0027118259901537374,-0.0007005000647250513,0.001183502688559268,0.022533596056445445,0.004861867403116449,0.026825709590944203
Malawi $(H=65\%)$,-0.001016217580744605,0.0006081168190535946,1.572403682953416e-05,0.002387363758939165,-0.0005727162291288557,-0.00018423179076049176,-0.0010424538546618956,0.5255988491822267,-0.0007837104253755055,0.004421689019616648,-0.012518378283976615,-0.0010424538546618956,-0.0015674037989396592,-0.003834007106066905,0.002948741956339262,-0.0007837104253755055,-0.02239,-0.0611168948757082,-0.003129601850414276,-0.004174059787913353,-0.0007429781727352757,0.0010424538550088402,0.0335169015677067,0.007414391260153474,0.039901073294796294
Malawi $(\pi=40\%)$,-0.000730795162058595,0.00048359739962533505,1.255770262081901e-05,0.0018985161236509394,-0.00041955562288253917,-0.000187241233802482,-0.0008325359228400496,0.4216409802344431,-0.0005894834408798344,0.0034849986150359276,-0.012193953997235994,-0.0008325359228400496,-0.001178963924403087,-0.003075938062591099,0.002262162145279245,-0.0005894834408798344,-0.0178,-0.04762894860611127,-0.006096971785600479,-0.003126057674524007,-0.0005725395504918573,0.000832535923013522,0.026286032819150536,0.005999378726619097,0.03865593061607519
Malawi $(fa= 1\%)$,-0.00032879136279903576,0.00030393706414513777,8.925785891650273e-06,0.0011931921486442454,-0.0002836246971657519,-0.00014855253051976325,-0.0005917513441928979,0.5295970560787767,-0.00038866711541893356,0.002194570340903479,-0.006236252389577728,-0.0005917513441928979,-0.0007773249328067721,-0.0019319874634132759,0.0014303433729101476,-0.00038866711541893356,-0.01137,-0.029708674442047164,-0.0015590470658390085,-0.002008426139895464,-0.00043063527448844447,0.000591751344279634,0.01668820714690461,0.003702994331479525,0.01986691327007841
Malawi $(pe= 0\%)$,-0.0006968196467754816,0.0005886113131625681,1.701074038573669e-05,0.0023107587043477706,-0.0005156812674794731,-0.0003094551212501351,-0.001127758232806475,0.5128088685283152,-0.0007212508139342598,0.0043846488417473295,-0.01207368038168982,-0.001127758232806475,-0.0014425149064828389,-0.0037407683450840774,0.0026007720319368155,-0.0007212508139342598,-0.02092,-0.05371356416438571,-0.003018411743119231,-0.003633967687703687,-0.0008929504597549042,0.001127758232286058,0.0321478652124188,0.007287484581584846,0.03827126810993353
Malawi $(pv= 0\%)$,-0.0011127947398617555,0.00048446546687536113,1.0928398290477313e-05,0.0019019187474933472,-0.0001994529714999249,-0.00033857555023497626,-0.0007245182117449066,0.4226912628720394,-0.00023841392436663164,0.001706784128266414,-0.009879761630159078,-0.0007245182117449066,-0.000476824910111695,-0.0030833255318732373,0.0026281175378312094,-0.00023841392436663164,-0.01448,-0.03197804403186344,-0.0024699486201110177,-0.0005373710068937165,-0.0009643573049486486,0.0007245182117449066,0.02453798417616226,0.0074108487664245595,0.029211885923934873
Malawi $(v=16\%)$,-0.0006059273153537215,0.00029042036614121414,5.127924040254639e-06,0.001140129765337533,-0.00018879697969917395,-5.793734849518505e-05,-0.0003399651286178917,0.25183804378374475,-0.00031495470285622384,0.002059222236044239,-0.005810215484604308,-0.0003399651286178917,-0.0006299262733829025,-0.001837431843829118,0.0013248959197104115,-0.00031495470285622384,-0.01028,-0.028469090211993838,-0.0014525450874221244,-0.0017676866789773091,-0.00020767864199189298,0.0003399651285311555,0.030621324290536902,0.00740566124613276,0.036453957488649776
Malawi $(protection= 1yr)$,-0.001252325872169724,0.001158035319720474,3.399722101060654e-05,0.004546395167281947,-0.0010802915957619508,-0.0005658183224038771,-0.002253908106680802,1.0089339204589347,-0.001479078044416826,0.00836208717894249,-0.023761043588255145,-0.002253908106680802,-0.002958107553352462,-0.022950481533973163,0.0054491164185044285,-0.001479078044416826,-0.04332,-0.11317669839604193,-0.005940268185677943,-0.007645350862811594,-0.001636305182323161,0.0022539081070277467,0.06357536204947001,0.01411868733001975,0.07568495482062192
Malawi $(\eta=1)$,-0.000577090384160095,0.00046598859684138233,1.3823828887149501e-05,0.0018293964069299171,-0.0004978144313438904,-0.00026073749669758284,-0.0010386343713905677,0.4173783420702986,-0.0004669239422189219,0.0016037379884162315,-0.009698099288392437,-0.0010386343713905677,-0.0009338483078838443,-0.003045062945718213,0.001387531075279502,-0.0004669239422189219,-0.01412,-0.006915276733882036,-0.0024245256307828256,-0.0022219772305084873,-0.0007096810935788843,0.0010386343712170953,0.025239586738841354,0.006517135380662563,0.030047127069979473
Malawi $(\eta=2)$,-0.0007534485049753846,0.0009142655299498869,2.3054809797362626e-05,0.0035904275653281244,-0.000649945917571837,-0.0003404185589667152,-0.0013560397749134976,0.7665620870626193,-0.0013826381720094536,0.009715449545907862,-0.018321477817523357,-0.0013560397749134976,-0.002763988161957886,-0.005591422794215538,0.005782273488491584,-0.0013826381720094536,-0.0476,-0.21740707644019028,-0.0045797287333976255,-0.0076588815282885294,-0.0010097494979044441,0.0013560397749134976,0.05027435586238415,0.009552220782069187,0.05985042364555646
Sweden $(\alpha=-70\%)$,-9.315410367995851e-07,-1.8754719926052967e-05,1.7396511748507535e-09,7.033130266598329e-05,-4.96709878089474e-08,-1.7630551695218402e-07,-3.792447746901045e-07,0.004323827804841472,-1.6781490205699382e-07,1.4311067061218914e-05,-0.00014052301230461656,-3.792447746901045e-07,-3.331532288540148e-07,-2.501063478500473e-06,1.0236493946870658e-05,-1.6781490205699382e-07,-0.0001139,-0.0001926512768919957,-3.512916747587785e-05,-6.94157410588772e-07,-6.393825193688057e-07,3.7924477197959905e-07,0.00042411626935835283,0.0007276282674149348,0.0005049003206643677
