country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,share1,shew,social_p,social_r,unemp,v,v_s
Malawi $(\alpha=-70\%)$,0.06446808822335726,0.06459751281662207,-0.0017501307403300357,-0.22671448176581063,0.055611983829084714,0.029127569811659978,0.11602829927959134,-0.008327353184789388,0.05329711788570889,-0.38470217197383855,0.06559701214436942,0.11602829927959134,0.10659262017487235,-5.027567251403298e-06,-0.18691076141275073,0.05329711788570889,5.000187059722716,0.016399065483341246,0.26586264193495524,0.06867562148960005,-0.11602796010645731,0.23559591820765388,-0.4766444553494508
Malawi $(H=65\%)$,0.04539542866055512,-0.027165133553719297,-0.000702407432218166,-0.10664556071571239,0.025583782059523937,0.008229807735293804,0.04656742957909187,-0.009079067675443753,0.0350091008849418,-0.2614648286769494,0.04888789587598196,0.04656742957909187,0.07001748580925948,-6.594202961451855e-06,-0.13172273852779526,0.0350091008849418,3.3953302164158035,0.012222203482625814,0.1864598052292443,0.03318955072995067,-0.04656734865493561,0.15301460577488157,-0.33120574800538094
Malawi $(\pi=40\%)$,0.04105894234607277,-0.027170366923012775,-0.000705540514900349,-0.10666580069207397,0.02357227504301562,0.010519941950892786,0.04677514282569461,-0.007359243303639572,0.033119490006061625,-0.26032265405540045,0.04901021385395054,0.04677514282569461,0.0662388544236947,-5.373679279330189e-06,-0.12709675853983526,0.033119490006061625,3.3471647082450313,0.024504658791002495,0.17563463469150162,0.032167515262582214,-0.046775061901538344,0.18831110344397214,-0.3370663017476794
Malawi $(fa= 1\%)$,0.028921716799246152,-0.02673541183995098,-0.0007851450378737467,-0.10495737545745952,0.024948686250247928,0.013067231752206252,0.052052681953629325,-0.00893663527623545,0.034188615105623654,-0.25649125615645474,0.042195297011993205,0.052052681953629325,0.0683764562969813,-4.35966818201905e-06,-0.1258179813778959,0.034188615105623654,3.273304687589906,0.010547332440768997,0.1766691586579938,0.03788029417917116,-0.052052580035155664,0.16951149521826636,-0.32572704490307913
Malawi $(pe= 0\%)$,0.0333060152013509,-0.02813393094047711,-0.0008130649487014806,-0.11044746964783413,0.024648107377345237,0.014791077729281453,0.053903684915646004,-0.009073830320449616,0.034473756860275984,-0.27602329256692926,0.04433231020062322,0.053903684915646004,0.06894819090108584,-7.044176353332431e-06,-0.12430922292638867,0.034473756860275984,3.123552351647074,0.011082592576983073,0.17369384948118236,0.04268052244960074,-0.05390358102097536,0.18621928510320626,-0.3483188478203835
Malawi $(pv= 0\%)$,0.07686079576130211,-0.033462001847173184,-0.0007548242031418794,-0.1313652251422326,0.013776215013194813,0.023385413683296715,0.05004249381546088,-0.011356408091689472,0.016467248353801978,-0.2416593178011794,0.04783208066294619,0.05004249381546088,0.032934301863463133,-8.887790503564474e-06,-0.18152352335709662,0.016467248353801978,2.2936323865629937,0.011958495571562365,0.037116223772226675,0.06660820347503815,-0.05004241863115765,0.3571745428754269,-0.5118632215306285
Malawi $(v=16\%)$,0.05892695158493665,-0.028243585892262498,-0.0004986944857066078,-0.11087826168321156,0.018360655029692197,0.0056344515053652336,0.03306188530727283,-0.004731184266582034,0.030629599734321996,-0.26697507932160747,0.03261905491269701,0.03306188530727283,0.06126087342961383,-3.879885301927288e-06,-0.1288468327920178,0.030629599734321996,3.46263082546816,0.008153847697034422,0.17190939447520034,0.02019691222043818,-0.033061846205217904,0.46551781863746194,-0.7201968766024079
Malawi $(protection= 1yr)$,0.028911714322621403,-0.026734855540500032,-0.0007848734995263839,-0.10495969954282812,0.024940057830047376,0.013062712489464444,0.05203467969838726,-0.008494797243407959,0.03414661234879546,-0.2564882876088248,0.04227611071216941,0.05203467969838726,0.06829214805881278,0.179406221656464,-0.1258001948278853,0.03414661234879546,3.2727487207839796,0.010569114139435953,0.17650422996506873,0.03777642618718602,-0.05203457784652698,0.16945820290326097,-0.3259476937356176
Malawi $(\eta=1)$,0.04086904435984806,-0.03300087528801399,-0.0009789910659918633,-0.12955595193320235,0.03525478667887327,0.01846519899206811,0.07355522798624392,-0.007224883702416917,0.03306714793094301,-0.19408830744804814,0.04426319503147979,0.07355522798624392,0.06613435827862446,-5.309985784407444e-06,-0.09826355402697827,0.03306714793094301,1.3270599919512627,0.011065771532425826,0.157358786967432,0.05025901129718235,-0.07355506759232355,0.2903893342343089,-0.4615344822544997
Malawi $(\eta=2)$,0.015827939009449565,-0.019206256501869134,-0.00048431971211293495,-0.07542509807834108,0.013653625519083333,0.007151282249706624,0.028486780589975776,-0.008661248079855355,0.029045542443428825,-0.2479450130821181,0.03492772723823201,0.028486780589975776,0.05806406946362585,6.8902161753925375e-06,-0.12146965524539864,0.029045542443428825,5.023800738462869,0.008718403343710435,0.16089326274060234,0.021212140849380386,-0.02848673641975274,0.07554569788070786,-0.2006654418351683
