country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Albania,0.53565,3.00000,40.00000,1.00000,0.18528,0.07585,0.09239,0.73918,0.99300,0.16250,4407.71627,11349.24684,79755.60082,83.86800,242996297.91744,0.00000,0.00000,0.00000,113.84761,0.00000,0.00057,118.08878,0.07071,0.06364,0.07248,0.07368,0.00000,9960.94073,1.50000,0.00392,0.14472,ALB,1.12901,0.51465,Albania,-0.10000,-0.10000,0.20000,0.98667,2897366.00000,0.20000,0.00000,15.54000,15.54000,0.86318,0.32500,0.71021,0.73667,0.66140,0.72824,0.01186,0.00842,85.33087,0.08850,0.08850,0.00000,0.04063,0.04063,0.26295,0.17936,0.29289,0.21270,342146407.70659,329858189.99902,12288217.70758,0.16000,0.33813,0.63000,0.31325,0.31325,0.33813
Argentina,0.53565,3.00000,40.00000,1.00000,0.26955,0.00437,0.06037,0.88550,0.98200,0.23333,4141.96794,21573.50334,144821.18153,20.13834,834658783.80912,0.00000,0.00000,0.00000,37.22996,0.00000,0.00026,38.08258,0.07364,0.08601,0.07055,0.07206,0.40000,18087.19626,1.50000,0.00358,0.07284,ARG,1.20938,0.21099,Argentina,0.16797,0.16797,0.20000,0.97097,41446246.00000,0.20000,0.66667,64.41000,64.41000,0.95066,0.06667,0.52881,0.54092,0.46009,0.50028,0.00211,0.00111,265.59147,0.04580,0.04580,0.80000,0.22500,0.22500,0.20015,0.14265,0.38012,0.33555,1578379840.69757,1543042216.09955,35337624.59802,0.07500,0.32297,0.52920,0.25620,0.30500,0.27129
Armenia,0.53565,3.00000,40.00000,1.00000,0.36670,0.00190,0.01239,0.72403,0.99500,0.38750,3300.51777,8583.41608,60266.13123,6.95181,20692527.82119,0.00000,0.00000,0.00000,9.98613,0.00000,0.00001,10.06378,0.03473,0.04056,0.03327,0.03800,0.40000,7526.83642,1.50000,0.00006,0.16060,ARM,1.30202,0.54695,Armenia,0.16797,0.16797,0.20000,0.95617,2976566.00000,0.20000,0.40000,11.46000,11.46000,0.04497,0.37500,0.69078,0.69615,0.68203,0.69333,0.00134,0.00092,66.17568,0.08770,0.08770,0.40000,0.19688,0.19688,0.50506,0.24573,0.60250,0.39422,29955503.64646,29724377.96512,231125.68135,0.16200,0.12441,0.11960,0.11385,0.12375,0.11445
Australia,0.53565,3.00000,40.00000,1.00000,0.27360,0.52015,0.68547,0.90291,1.00000,0.90000,15056.15689,49778.48173,342964.87013,23.17135,535937149.77911,0.00000,0.00000,0.00000,32.40848,0.00000,0.00001,32.48227,0.04256,0.04971,0.04077,0.04109,0.80000,42834.01676,1.50000,0.00028,0.05190,AUS,1.21324,0.19417,Australia,0.16797,0.16797,0.20000,0.99838,23129300.00000,0.20000,0.80000,100.00000,100.00000,0.40977,1.00000,0.71335,0.71498,0.60166,0.67980,0.00076,0.00054,370.67677,0.07030,0.07030,1.00000,0.42500,0.42500,0.57800,0.12600,0.75735,0.49745,751292174.51112,749585424.93898,1706749.57214,0.05700,0.44688,0.50400,0.34400,0.43000,0.35751
Austria,0.53565,3.00000,40.00000,1.00000,0.23228,0.43808,0.56789,0.92097,1.00000,0.48333,18635.79562,50411.36912,352751.12439,4.30253,36484677.13293,0.00000,0.00000,0.00000,6.19499,0.00000,0.00002,6.21423,0.08724,0.10189,0.08357,0.07922,0.00000,44056.25442,1.50000,0.00052,0.04355,AUT,1.17383,0.15806,Austria,0.16797,0.16797,0.20000,0.99738,8479823.00000,0.20000,0.00000,600.59000,600.59000,1.99906,0.96667,0.69237,0.69452,0.47373,0.66499,0.00014,0.00010,1307.28774,0.08460,0.08460,0.00000,0.12083,0.12083,0.51717,0.40816,0.57551,0.47968,52695567.82740,52532446.60671,163121.22069,0.04900,0.16005,0.48000,0.12400,0.12400,0.16005
Azerbaijan,0.53565,3.00000,40.00000,1.00000,0.59822,0.00113,0.02468,0.64170,0.99400,0.27500,6745.13123,19055.20314,132858.91118,11.76910,110827245.71671,0.00000,0.00000,0.00000,19.89063,0.00000,0.00001,20.05059,0.04881,0.05701,0.04676,0.05713,0.00000,16593.18876,1.50000,0.00008,0.14381,AZE,1.52282,0.71059,Azerbaijan,0.16797,0.16797,0.20000,0.98186,9416801.00000,0.20000,0.00000,13.95000,13.95000,0.04536,0.55000,0.58697,0.59169,0.57784,0.59136,0.00121,0.00071,78.06416,0.08130,0.08130,0.00000,0.06875,0.06875,0.85713,0.38777,0.86695,0.42986,188812445.37245,187306105.91194,1506339.46051,0.05500,0.12436,0.13000,0.12375,0.12375,0.12436
Bangladesh,0.53565,3.00000,40.00000,1.00000,0.28971,0.14566,0.18231,0.37086,0.34400,0.60000,1266.93080,3250.07698,22847.08294,13.92431,2180477233.51227,0.00000,0.00000,0.00000,20.01099,0.00000,0.00252,21.68684,0.22208,0.22652,0.22097,0.22001,0.80000,2853.44774,1.50000,0.00748,0.33671,BGD,1.22860,0.60229,Bangladesh,0.02000,0.02000,0.20000,0.66201,156594962.00000,0.20000,0.66667,50.00000,50.00000,0.65799,0.40000,0.64206,0.69583,0.63093,0.64107,0.00760,0.00488,218.49824,0.08880,0.08880,0.80000,0.31667,0.31667,0.05676,0.05538,0.35545,0.35451,3396049532.24232,3133619952.80012,262429579.44220,0.04300,0.37998,0.52920,0.29820,0.35500,0.31918
Belarus,0.53565,3.00000,40.00000,1.00000,0.38644,0.04173,0.08594,0.84072,1.00000,0.52500,7990.06058,19320.68277,136553.02086,22.33449,211418245.62424,0.00000,0.00000,0.00000,32.35359,0.00000,0.00003,32.70208,0.03397,0.03968,0.03254,0.03564,0.80000,17054.55833,1.50000,0.00033,0.07687,BLR,1.32086,0.31856,Belarus,0.16797,0.16797,0.20000,0.98668,9466000.00000,0.20000,0.73333,14.45000,14.45000,1.40348,0.25000,0.68297,0.69032,0.49774,0.63269,0.00192,0.00131,80.35917,0.09370,0.09370,0.80000,0.31458,0.31458,0.49175,0.31017,0.65163,0.52718,309557843.71944,306259092.85403,3298750.86541,0.05800,0.26212,0.52920,0.18123,0.21575,0.22018
Belgium,0.53565,3.00000,40.00000,1.00000,0.21669,0.43804,0.41742,0.90044,1.00000,0.44167,16954.24581,46522.65356,325149.30573,13.96357,156152017.40166,0.00000,0.00000,0.00000,18.19683,0.00000,0.00002,18.25113,0.11046,0.12901,0.10582,0.10099,0.00000,40608.97201,1.50000,0.00023,0.10614,BEL,1.15897,0.19912,Belgium,0.16797,0.16797,0.20000,0.86513,11182817.00000,0.20000,0.00000,213.02000,213.02000,1.24042,0.88333,0.76508,0.76736,0.56036,0.75247,0.00045,0.00034,646.28025,0.08350,0.08350,0.00000,0.11042,0.11042,0.65117,0.40252,0.68969,0.46849,204099070.51990,203491792.39771,607278.12219,0.08400,0.14729,0.33000,0.12700,0.12700,0.14729
Benin,0.53565,3.00000,40.00000,1.00000,0.33025,0.01620,0.10626,0.70018,0.80900,0.00000,532.12599,2033.60525,13878.32097,14.76768,152453763.03429,0.00000,0.00000,0.00000,30.28376,0.00000,0.00162,35.44459,0.03468,0.06382,0.02740,0.04386,0.00000,1733.30940,1.50000,0.00626,0.25916,BEN,1.26727,0.40864,Benin,0.84000,0.84000,0.20000,0.53235,10323474.00000,0.20000,0.00000,6.35000,6.35000,0.04498,0.00000,0.41664,0.48764,0.48204,0.48764,0.02045,0.00852,40.29787,0.06140,0.06140,0.00000,0.00000,0.00000,0.04726,0.07453,0.04726,0.07453,365911317.94233,312633650.88344,53277667.05888,0.01000,0.60288,0.63000,0.59875,0.59875,0.60288
