country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth,pov_head,shew,prepare_scaleup,finance_pre,rating,avg_prod_k,protection,fa,pe,v,pv,v_s,peref,faref,protectionref,share1_ref,H,alpha,T_rebuild_K,T_rebuild_L,pi,income_elast,original_country
Afghanistan,1883.7633205312,30551674.0,0.094,,0.08,0.0,0.047017940000000015,0.386,0.737918301689184,0.1110742968568676,0.04316252283353993,0.32404084915540804,0.2,0.4,0.4,0.4,0.0,,2.51,0.08536457704178624,0.1679728080635645,0.3412718617030729,0.8460355824710155,0.30474999999999985,0.1679728080635645,0.08536457704178624,2.51,0.094,0.5356497092899943,1,3,40,0.2,1.5,Afghanistan
Albania,9960.94072581355,2897366.0,0.0885,0.986670379638672,0.16,0.07585278999999999,0.092387,0.993,0.514646547616325,0.2629495641629598,0.17935972626416474,0.7391767261918375,0.2,0.0,0.0,0.0,0.325,0.1852799860314327,15.54,0.07367993943126039,-0.1,0.3381323398878136,0.8631758210676417,0.31325,-0.1,0.07367993943126039,15.54,0.0885,0.5356497092899943,1,3,40,0.2,1.5,Albania
Algeria,12892.942492651599,39208194.0,,0.927675170898438,0.0980000019073486,0.006872764,0.06935566,0.969,0.251247841677351,,,0.8588760791613246,0.2,0.6000000000000001,0.8,1.0,0.0,,19.66,0.034776308754693286,0.1679728080635645,,,,0.1679728080635645,0.034776308754693286,19.66,,0.5356497092899943,1,3,40,0.2,1.5,Algeria
American Samoa,,55165.0,,,,,,1.0,,,,,0.2,0.0,0.0,0.0,0.0,,0.5,,0.1679728080635645,,,,0.1679728080635645,,0.5,,0.5356497092899943,1,3,40,0.2,1.5,American Samoa
Andorra,,79218.0,,,,,,,0.184011425406826,,,,0.2,0.0,0.0,0.0,0.55,,60.57,0.2809332907605161,0.1679728080635645,,,,0.1679728080635645,0.2809332907605161,60.57,,0.5356497092899943,1,3,40,0.2,1.5,Andorra
Angola,7488.01175983409,21471618.0,0.054000000000000006,0.31872850418090803,0.0680000019073486,0.09179081,0.20126910000000006,0.473,0.244036932751657,,,0.6144815336241716,0.2,0.0,0.0,0.0,0.4,0.43239739052511456,16.49,0.017032878672476978,1.82,0.5335019091113276,0.18087674896873862,0.5050000000000002,1.82,0.017032878672476978,16.49,0.054000000000000006,0.5356497092899943,1,3,40,0.2,1.5,Angola
Antigua and Barbuda,20353.2908243918,89985.0,,0.913220672607422,,,,1.0,0.26712282489765604,,,0.866438587551172,0.2,0.4,0.6666666666666667,0.8,0.0,0.40051064160860556,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Antigua and Barbuda
Arab World,15426.846787221699,369762523.0,,0.832042694091797,0.114136838041252,,,0.7779512045595791,0.3235293486562349,,,0.7272109279516721,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,Arab World
Argentina,18087.196261682242,41446246.0,0.0458,0.970972366333008,0.075,0.004365798,0.06037133,0.982,0.210991454510741,0.2001534455359978,0.14264750646937888,0.8855042727446295,0.2,0.8,0.6666666666666667,0.4,0.06666666666666667,0.2695495148851759,64.41,0.07205781664084926,0.1679728080635645,0.3229669880868547,0.9506637620516674,0.30499999999999994,0.1679728080635645,0.07205781664084926,64.41,0.0458,0.5356497092899943,1,3,40,0.2,1.5,Argentina
Armenia,7526.83641911287,2976566.0,0.0877,0.9561711120605472,0.16200000762939498,0.001895716,0.01239363,0.995,0.546947124395628,0.5050600974072442,0.2457265032536369,0.7240264378021859,0.2,0.4,0.4,0.4,0.375,0.3666957212217474,11.46,0.03800051942626459,0.1679728080635645,0.1244056549023014,0.04496857560126166,0.12375,0.1679728080635645,0.03800051942626459,11.46,0.0877,0.5356497092899943,1,3,40,0.2,1.5,Armenia
Aruba,36016.4837574639,102911.0,,0.9311888122558588,,,,0.96,,,,,0.2,0.0,0.0,0.0,0.6,,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Aruba
Australia,42834.0167597384,23129300.0,0.0703,0.998382568359375,0.0569999980926514,0.5201536,0.6854684,1.0,0.194171489728757,0.578,0.126,0.9029142551356216,0.2,1.0,0.8,0.8,1.0,0.27360239086009513,100.0,0.04109036778223482,0.1679728080635645,0.4468814225661808,0.4097699483282957,0.43000000000000005,0.1679728080635645,0.04109036778223482,100.0,0.0703,0.5356497092899943,1,3,40,0.2,1.5,Australia
Austria,44056.254416802,8479823.0,0.08460000000000001,0.9973828125,0.0490000009536743,0.4380794,0.5678905000000001,1.0,0.158064275956296,0.51716638,0.40816435,0.920967862021852,0.2,0.0,0.0,0.0,0.9666666666666667,0.23227851820729004,600.59,0.07921920515759366,0.1679728080635645,0.16005003293838715,1.9990621756684104,0.12400000000000001,0.1679728080635645,0.07921920515759366,600.59,0.08460000000000001,0.5356497092899943,1,3,40,0.2,1.5,Austria
Azerbaijan,16593.1887600482,9416801.0,0.08130000000000001,0.9818643188476558,0.055,0.001134416,0.024682880000000004,0.994,0.7105923535449241,0.8571289621356334,0.38777251599754,0.6417038232275379,0.2,0.0,0.0,0.0,0.55,0.5982212831852317,13.95,0.05712771561032616,0.1679728080635645,0.12435864543214126,0.04536358970665266,0.12375,0.1679728080635645,0.05712771561032616,13.95,0.08130000000000001,0.5356497092899943,1,3,40,0.2,1.5,Azerbaijan
"Bahamas, The",22517.995142032796,377374.0,,0.8949990081787109,0.13600000381469698,,,0.99,0.302110595513192,,,0.8439447022434041,0.2,0.0,0.0,0.0,0.6,0.46303855923905307,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,"Bahamas, The"
Bahrain,42444.2784449127,1332171.0,,0.978074264526367,0.07400000095367429,0.1536534,0.17169779999999998,0.995,0.14606045932865602,,,0.924469770335672,0.2,0.8,0.6666666666666667,0.8,0.5833333333333334,0.18663675173754224,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Bahrain
Bangladesh,2853.4477401556605,156594962.0,0.0888,0.6620095825195311,0.0430000019073486,0.1456589,0.1823108,0.344,0.6022875689248249,0.056762952438716034,0.0553770944413467,0.37085621553758746,0.2,0.8,0.6666666666666667,0.8,0.4,0.2897089076246591,50.0,0.22001199985389425,0.02,0.37997783839072624,0.6579914309428205,0.35500000000000004,0.02,0.22001199985389425,50.0,0.0888,0.5356497092899943,1,3,40,0.2,1.5,Bangladesh
