country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,fa,faref,finance_pre,gdp_pc_pp,income_elast,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,share1,share1_ref,shew,social_p,social_r,unemp,v,v_s
Albania $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.1852799860314327,0.07585278999999999,0.092387,0.7391767261918375,0.993,0.07367993943126039,0.07367993943126039,0.0,9960.94072581355,1.0,0.514646547616325,Albania,-0.1,-0.1,0.2,0.986670379638672,2897366.0,0.2,0.0,15.54,15.54,0.8631758210676417,0.325,0.0885,0.0885,0.0,0.2629495641629598,0.17935972626416474,0.16,0.3381323398878136,0.31325
Albania $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.1852799860314327,0.07585278999999999,0.092387,0.7391767261918375,0.993,0.07367993943126039,0.07367993943126039,0.0,9960.94072581355,2.0,0.514646547616325,Albania,-0.1,-0.1,0.2,0.986670379638672,2897366.0,0.2,0.0,15.54,15.54,0.8631758210676417,0.325,0.0885,0.0885,0.0,0.2629495641629598,0.17935972626416474,0.16,0.3381323398878136,0.31325
Argentina $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.2695495148851759,0.004365798,0.06037133,0.8855042727446295,0.982,0.07205781664084926,0.07205781664084926,0.4,18087.196261682242,1.0,0.210991454510741,Argentina,0.1679728080635645,0.1679728080635645,0.2,0.970972366333008,41446246.0,0.2,0.6666666666666667,64.41,64.41,0.9506637620516674,0.06666666666666667,0.0458,0.0458,0.8,0.2001534455359978,0.14264750646937888,0.075,0.3229669880868547,0.30499999999999994
Argentina $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.2695495148851759,0.004365798,0.06037133,0.8855042727446295,0.982,0.07205781664084926,0.07205781664084926,0.4,18087.196261682242,2.0,0.210991454510741,Argentina,0.1679728080635645,0.1679728080635645,0.2,0.970972366333008,41446246.0,0.2,0.6666666666666667,64.41,64.41,0.9506637620516674,0.06666666666666667,0.0458,0.0458,0.8,0.2001534455359978,0.14264750646937888,0.075,0.3229669880868547,0.30499999999999994
Armenia $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.3666957212217474,0.001895716,0.01239363,0.7240264378021859,0.995,0.03800051942626459,0.03800051942626459,0.4,7526.83641911287,1.0,0.546947124395628,Armenia,0.1679728080635645,0.1679728080635645,0.2,0.9561711120605472,2976566.0,0.2,0.4,11.46,11.46,0.04496857560126166,0.375,0.0877,0.0877,0.4,0.5050600974072442,0.2457265032536369,0.16200000762939498,0.1244056549023014,0.12375
Armenia $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.3666957212217474,0.001895716,0.01239363,0.7240264378021859,0.995,0.03800051942626459,0.03800051942626459,0.4,7526.83641911287,2.0,0.546947124395628,Armenia,0.1679728080635645,0.1679728080635645,0.2,0.9561711120605472,2976566.0,0.2,0.4,11.46,11.46,0.04496857560126166,0.375,0.0877,0.0877,0.4,0.5050600974072442,0.2457265032536369,0.16200000762939498,0.1244056549023014,0.12375
Australia $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.27360239086009513,0.5201536,0.6854684,0.9029142551356216,1.0,0.04109036778223482,0.04109036778223482,0.8,42834.0167597384,1.0,0.194171489728757,Australia,0.1679728080635645,0.1679728080635645,0.2,0.998382568359375,23129300.0,0.2,0.8,100.0,100.0,0.4097699483282957,1.0,0.0703,0.0703,1.0,0.578,0.126,0.0569999980926514,0.4468814225661808,0.43000000000000005
Australia $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.27360239086009513,0.5201536,0.6854684,0.9029142551356216,1.0,0.04109036778223482,0.04109036778223482,0.8,42834.0167597384,2.0,0.194171489728757,Australia,0.1679728080635645,0.1679728080635645,0.2,0.998382568359375,23129300.0,0.2,0.8,100.0,100.0,0.4097699483282957,1.0,0.0703,0.0703,1.0,0.578,0.126,0.0569999980926514,0.4468814225661808,0.43000000000000005
Austria $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.23227851820729004,0.4380794,0.5678905000000001,0.920967862021852,1.0,0.07921920515759366,0.07921920515759366,0.0,44056.254416802,1.0,0.158064275956296,Austria,0.1679728080635645,0.1679728080635645,0.2,0.9973828125,8479823.0,0.2,0.0,600.59,600.59,1.9990621756684104,0.9666666666666667,0.08460000000000001,0.08460000000000001,0.0,0.51716638,0.40816435,0.0490000009536743,0.16005003293838715,0.12400000000000001
Austria $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.23227851820729004,0.4380794,0.5678905000000001,0.920967862021852,1.0,0.07921920515759366,0.07921920515759366,0.0,44056.254416802,2.0,0.158064275956296,Austria,0.1679728080635645,0.1679728080635645,0.2,0.9973828125,8479823.0,0.2,0.0,600.59,600.59,1.9990621756684104,0.9666666666666667,0.08460000000000001,0.08460000000000001,0.0,0.51716638,0.40816435,0.0490000009536743,0.16005003293838715,0.12400000000000001
Azerbaijan $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.5982212831852317,0.001134416,0.024682880000000004,0.6417038232275379,0.994,0.05712771561032616,0.05712771561032616,0.0,16593.1887600482,1.0,0.7105923535449241,Azerbaijan,0.1679728080635645,0.1679728080635645,0.2,0.9818643188476558,9416801.0,0.2,0.0,13.95,13.95,0.04536358970665266,0.55,0.08130000000000001,0.08130000000000001,0.0,0.8571289621356334,0.38777251599754,0.055,0.12435864543214126,0.12375
Azerbaijan $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.5982212831852317,0.001134416,0.024682880000000004,0.6417038232275379,0.994,0.05712771561032616,0.05712771561032616,0.0,16593.1887600482,2.0,0.7105923535449241,Azerbaijan,0.1679728080635645,0.1679728080635645,0.2,0.9818643188476558,9416801.0,0.2,0.0,13.95,13.95,0.04536358970665266,0.55,0.08130000000000001,0.08130000000000001,0.0,0.8571289621356334,0.38777251599754,0.055,0.12435864543214126,0.12375
Bangladesh $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.2897089076246591,0.1456589,0.1823108,0.37085621553758746,0.344,0.22001199985389425,0.22001199985389425,0.8,2853.4477401556605,1.0,0.6022875689248249,Bangladesh,0.02,0.02,0.2,0.6620095825195311,156594962.0,0.2,0.6666666666666667,50.0,50.0,0.6579914309428205,0.4,0.0888,0.0888,0.8,0.056762952438716034,0.0553770944413467,0.0430000019073486,0.37997783839072624,0.35500000000000004
Bangladesh $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.2897089076246591,0.1456589,0.1823108,0.37085621553758746,0.344,0.22001199985389425,0.22001199985389425,0.8,2853.4477401556605,2.0,0.6022875689248249,Bangladesh,0.02,0.02,0.2,0.6620095825195311,156594962.0,0.2,0.6666666666666667,50.0,50.0,0.6579914309428205,0.4,0.0888,0.0888,0.8,0.056762952438716034,0.0553770944413467,0.0430000019073486,0.37997783839072624,0.35500000000000004
Belarus $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.38644453675382373,0.04172604,0.08594028,0.8407184956452355,1.0,0.03563503796859986,0.03563503796859986,0.8,17054.5583344525,1.0,0.31856300870952897,Belarus,0.1679728080635645,0.1679728080635645,0.2,0.986681365966797,9466000.0,0.2,0.7333333333333333,14.45,14.45,1.4034785973975206,0.25,0.0937,0.0937,0.8,0.4917469369193375,0.3101703987921827,0.058000001907348615,0.26212007907295787,0.21574999999999983
Belarus $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.38644453675382373,0.04172604,0.08594028,0.8407184956452355,1.0,0.03563503796859986,0.03563503796859986,0.8,17054.5583344525,2.0,0.31856300870952897,Belarus,0.1679728080635645,0.1679728080635645,0.2,0.986681365966797,9466000.0,0.2,0.7333333333333333,14.45,14.45,1.4034785973975206,0.25,0.0937,0.0937,0.8,0.4917469369193375,0.3101703987921827,0.058000001907348615,0.26212007907295787,0.21574999999999983
Belgium $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.21669151743746679,0.43803739999999997,0.4174232,0.9004417114358291,1.0,0.10099202257790048,0.10099202257790048,0.0,40608.9720093428,1.0,0.199116577128342,Belgium,0.1679728080635645,0.1679728080635645,0.2,0.865133590698242,11182817.0,0.2,0.0,213.02,213.02,1.2404150132868863,0.8833333333333333,0.08349999999999999,0.08349999999999999,0.0,0.65117317,0.402522585,0.0839999961853027,0.14729413882826148,0.12699999999999997
Belgium $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.21669151743746679,0.43803739999999997,0.4174232,0.9004417114358291,1.0,0.10099202257790048,0.10099202257790048,0.0,40608.9720093428,2.0,0.199116577128342,Belgium,0.1679728080635645,0.1679728080635645,0.2,0.865133590698242,11182817.0,0.2,0.0,213.02,213.02,1.2404150132868863,0.8833333333333333,0.08349999999999999,0.08349999999999999,0.0,0.65117317,0.402522585,0.0839999961853027,0.14729413882826148,0.12699999999999997
