country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Albania $(\eta=1)$,0.5356497092899943,3.000000000000001,40.00000000000001,1.0,0.18527998603143275,0.07585279000000003,0.09238700000000001,0.7391767261918378,0.9930000000000005,0.1625000000000001,4407.7162711725005,11349.246839473812,79755.60082387915,83.86978106390931,243001452.08201462,1.8682294615818664e-05,0.0005488271694860981,0.0005143449743729745,101.6655081589815,0.0005103204400800854,0.0005677073235176994,105.38737549275895,0.07071096789910132,0.06363987110919114,0.07247874209657883,0.07367993943126042,0.0,9960.940725813556,1.0,0.0039228621838651384,0.14471763138983026,ALB,1.1290128729346032,0.5146465476163253,Albania,-0.10000000000000003,-0.10000000000000003,0.20000000000000007,0.9866703796386727,2897366.0000000023,0.20000000000000007,0.0,15.540000000000006,15.540000000000006,0.8631758210676421,0.3250000000000002,0.7958237945651462,0.8249580667295368,0.7670774827988859,0.8185031149069864,0.010580062505507127,0.008419865489869113,85.36393441938516,0.0885,0.0885,0.0,0.04062500000000002,0.04062500000000002,0.26294956416295995,0.17935972626416483,0.29289223811883974,0.21269823738468316,305345798.5819533,294562186.7125558,10783611.869397478,0.1600000000000001,0.33813233988781366,0.6300000000000007,0.3132500000000001,0.3132500000000001,0.33813233988781366
Albania $(\eta=2)$,0.5356497092899943,3.000000000000001,40.00000000000001,1.0,0.18527998603143275,0.07585279000000003,0.09238700000000001,0.7391767261918378,0.9930000000000005,0.1625000000000001,4407.7162711725005,11349.246839473812,79755.60082387915,83.86978106390931,243001452.08201462,1.2242500440675153e-10,3.941406914174285e-09,3.4521517676821764e-09,133.0990487337327,3.398701454577604e-09,0.0005677073235176994,137.8934244226638,0.07071096789910132,0.06363987110919114,0.07247874209657883,0.07367993943126042,0.0,9960.940725813556,2.0,0.0039228621838651384,0.14471763138983026,ALB,1.1290128729346032,0.5146465476163253,Albania,-0.10000000000000003,-0.10000000000000003,0.20000000000000007,0.9866703796386727,2897366.0000000023,0.20000000000000007,0.0,15.540000000000006,15.540000000000006,0.8631758210676421,0.3250000000000002,0.6082217583257342,0.6301305821628559,0.5433658013002689,0.6203741522084496,0.013843413811841693,0.008419865489869113,85.36393441938516,0.0885,0.0885,0.0,0.04062500000000002,0.04062500000000002,0.26294956416295995,0.17935972626416483,0.29289223811883974,0.21269823738468316,399527719.54579604,385636658.4334605,13891061.112335581,0.1600000000000001,0.33813233988781366,0.6300000000000007,0.3132500000000001,0.3132500000000001,0.33813233988781366
Argentina $(\eta=1)$,0.5356497092899942,3.0,40.00000000000001,1.0,0.26954951488517587,0.004365797999999998,0.060371329999999994,0.8855042727446295,0.9819999999999997,0.2333333333333333,4141.967943925232,21573.50334112149,144821.18153073007,20.13834458756814,834658783.8091176,2.0685062493601308e-06,8.561457136257509e-05,8.12341349193813e-05,27.987332984486937,7.736774325868441e-05,0.0002605273981230462,28.73560313872639,0.07363777538378966,0.08600691929455882,0.07054548940609737,0.07205781664084925,0.39999999999999986,18087.196261682235,1.0,0.0035766528167522583,0.07284112030745414,ARG,1.2093784490793296,0.21099145451074097,Argentina,0.1679728080635645,0.1679728080635645,0.19999999999999993,0.9709723663330078,41446246.0,0.19999999999999993,0.6666666666666666,64.40999999999998,64.40999999999998,0.9506637620516672,0.06666666666666665,0.700815100011877,0.7195521130480922,0.6502412177920904,0.6853045606849512,0.001588726230587923,0.0011134033321809672,265.5914687463544,0.04580000000000001,0.04580000000000001,0.7999999999999997,0.225,0.225,0.2001534455359978,0.14264750646937888,0.38011892029039834,0.3355518175137688,1190982876.6460261,1159969887.7589598,31012988.887066294,0.075,0.32296698808685464,0.5292,0.25619999999999993,0.3049999999999998,0.27129226999295786
Argentina $(\eta=2)$,0.5356497092899942,3.0,40.00000000000001,1.0,0.26954951488517587,0.004365797999999998,0.060371329999999994,0.8855042727446295,0.9819999999999997,0.2333333333333333,4141.967943925232,21573.50334112149,144821.18153073007,20.13834458756814,834658783.8091176,7.464931962614326e-12,5.581142773067155e-10,4.981055125922833e-10,57.611655889818195,4.4773250798960367e-10,0.0002605273981230462,58.572200598537506,0.07363777538378966,0.08600691929455882,0.07054548940609737,0.07205781664084925,0.39999999999999986,18087.196261682235,2.0,0.0035766528167522583,0.07284112030745414,ARG,1.2093784490793296,0.21099145451074097,Argentina,0.1679728080635645,0.1679728080635645,0.19999999999999993,0.9709723663330078,41446246.0,0.19999999999999993,0.6666666666666666,64.40999999999998,64.40999999999998,0.9506637620516672,0.06666666666666665,0.3438208635116738,0.34955330265254925,0.2804199484520008,0.3142032619919643,0.003238323936508769,0.0011134033321809672,265.5914687463544,0.04580000000000001,0.04580000000000001,0.7999999999999997,0.225,0.225,0.2001534455359978,0.14264750646937888,0.38011892029039834,0.3355518175137688,2427597834.768333,2387786862.476754,39810972.29157903,0.075,0.32296698808685464,0.5292,0.25619999999999993,0.3049999999999998,0.27129226999295786
Armenia $(\eta=1)$,0.5356497092899941,3.0,39.99999999999999,1.0,0.36669572122174743,0.001895716,0.012393630000000003,0.724026437802186,0.9950000000000003,0.3875000000000001,3300.5177697809922,8583.416081445836,60266.13122530874,6.951850387129288,20692641.49941587,4.5266046772917306e-07,6.262098887422463e-05,6.19368817953967e-05,9.29699745695502,6.175902035106541e-05,1.0143794706008492e-05,9.365139457806393,0.03473069070141092,0.040564502344514065,0.03327223779063514,0.03800051942626458,0.4000000000000001,7526.836419112871,1.0,6.316153773703551e-05,0.160600819255554,ARM,1.3020241651371844,0.5469471243956282,Armenia,0.16797280806356452,0.16797280806356452,0.20000000000000004,0.9561711120605468,2976566.0000000005,0.20000000000000004,0.4000000000000001,11.46,11.46,0.04496857560126165,0.375,0.7423114646023251,0.7477522091746573,0.7374595121250165,0.7456049217415402,0.0012442331593689913,0.0009236085388379737,66.20006492870353,0.08769999999999996,0.08769999999999996,0.4000000000000001,0.1968750000000001,0.1968750000000001,0.5050600974072442,0.24572650325363693,0.6025013907301932,0.3942240979255772,27875955.69536495,27673126.532458782,202829.1629061646,0.16200000762939498,0.12440565490230138,0.11959999999999991,0.11385,0.12375000000000001,0.11445320251011727
Armenia $(\eta=2)$,0.5356497092899941,3.0,39.99999999999999,1.0,0.36669572122174743,0.001895716,0.012393630000000003,0.724026437802186,0.9950000000000003,0.3875000000000001,3300.5177697809922,8583.416081445836,60266.13122530874,6.951850387129288,20692641.49941587,3.925548593760035e-12,5.117700976005119e-10,5.002732497689868e-10,11.207044846224635,4.976927690514115e-10,1.0143794706008492e-05,11.295440342145048,0.03473069070141092,0.040564502344514065,0.03327223779063514,0.03800051942626458,0.4000000000000001,7526.836419112871,2.0,6.316153773703551e-05,0.160600819255554,ARM,1.3020241651371844,0.5469471243956282,Armenia,0.16797280806356452,0.16797280806356452,0.20000000000000004,0.9561711120605468,2976566.0000000005,0.20000000000000004,0.4000000000000001,11.46,11.46,0.04496857560126165,0.375,0.6154563413690789,0.6203107494007385,0.6032477786199225,0.6171110981532003,0.0015006889632226592,0.0009236085388379737,66.20006492870353,0.08769999999999996,0.08769999999999996,0.4000000000000001,0.1968750000000001,0.1968750000000001,0.5050600974072442,0.24572650325363693,0.6025013907301932,0.3942240979255772,33621623.67745732,33358508.64974748,263115.0277098381,0.16200000762939498,0.12440565490230138,0.11959999999999991,0.11385,0.12375000000000001,0.11445320251011727
Australia $(\eta=1)$,0.5356497092899943,3.0,39.99999999999999,1.0,0.27360239086009513,0.5201536,0.6854684,0.9029142551356217,1.0,0.9000000000000001,15056.156891048044,49778.481726910984,342964.8701271659,23.17135191203855,535937149.7791133,7.559599092370965e-08,3.765775195275227e-05,3.484634658604868e-05,28.82284913479358,3.364483598735096e-05,1.4782300616237458e-05,28.887610688168618,0.042558974969140254,0.049707725503013694,0.04077178733567188,0.04109036778223482,0.7999999999999998,42834.0167597384,1.0,0.0002848169407162514,0.05190105819921826,AUS,1.213243567553325,0.19417148972875697,Australia,0.16797280806356452,0.16797280806356452,0.19999999999999996,0.9983825683593751,23129300.0,0.19999999999999996,0.7999999999999998,99.99999999999999,99.99999999999999,0.4097699483282958,1.0,0.8021207486546731,0.8039230196735544,0.7182547215592837,0.7762035562775962,0.0006744081660658397,0.0005409567830635566,370.6767651900966,0.07029999999999999,0.07029999999999999,1.0,0.42500000000000004,0.42500000000000004,0.5780000000000001,0.12600000000000003,0.75735,0.49745000000000006,668150213.8898584,666652324.4933811,1497889.396477321,0.056999998092651404,0.44688142256618085,0.5040000000000001,0.3440000000000001,0.4300000000000001,0.3575051380529446
Australia $(\eta=2)$,0.5356497092899943,3.0,39.99999999999999,1.0,0.27360239086009513,0.5201536,0.6854684,0.9029142551356217,1.0,0.9000000000000001,15056.156891048044,49778.481726910984,342964.8701271659,23.17135191203855,535937149.7791133,1.1519940327658303e-13,6.858512418744299e-11,5.756749022842806e-11,48.5759727222812,5.3930163359840135e-11,1.4782300616237458e-05,48.67973512021514,0.042558974969140254,0.049707725503013694,0.04077178733567188,0.04109036778223482,0.7999999999999998,42834.0167597384,2.0,0.0002848169407162514,0.05190105819921826,AUS,1.213243567553325,0.19417148972875697,Australia,0.16797280806356452,0.16797280806356452,0.19999999999999996,0.9983825683593751,23129300.0,0.19999999999999996,0.7999999999999998,99.99999999999999,99.99999999999999,0.4097699483282958,1.0,0.4759958503228631,0.47701261783297516,0.3750867073467706,0.4468731970485245,0.0011364737375265585,0.0005409567830635566,370.6767651900966,0.07029999999999999,0.07029999999999999,1.0,0.42500000000000004,0.42500000000000004,0.5780000000000001,0.12600000000000003,0.75735,0.49745000000000006,1125928197.5159922,1123528245.8854585,2399951.6305335844,0.056999998092651404,0.44688142256618085,0.5040000000000001,0.3440000000000001,0.4300000000000001,0.3575051380529446
Austria $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.23227851820728998,0.4380794,0.5678905000000001,0.920967862021852,1.0,0.4833333333333334,18635.79561830725,50411.36911642568,352751.12439490395,4.302528146274794,36484677.13292836,1.9159053898072486e-08,7.930755246625083e-06,6.111607806384787e-06,5.212290588508981,5.9155035660978475e-06,2.2500668521650115e-05,5.229172085612623,0.08723687448117604,0.10189029725446791,0.08357351878785307,0.07921920515759366,0.0,44056.254416802,1.0,0.0005166655459197903,0.04354977547727408,AUT,1.1738341050886907,0.158064275956296,Austria,0.1679728080635645,0.1679728080635645,0.2,0.9973828125000002,8479823.0,0.2,0.0,600.59,600.59,1.9990621756684104,0.9666666666666668,0.8227933745214911,0.8254582267074959,0.6157044230851719,0.7989716026364999,0.00011869306991332294,9.765987152629825e-05,1307.2877438148519,0.08460000000000001,0.08460000000000001,0.0,0.12083333333333335,0.12083333333333335,0.51716638,0.40816435,0.57550877575,0.47967782437500006,44342453.722535886,44199301.615122,143152.10741388935,0.04900000095367431,0.16005003293838715,0.48000000000000015,0.12400000000000001,0.12400000000000001,0.16005003293838715
Austria $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.23227851820728998,0.4380794,0.5678905000000001,0.920967862021852,1.0,0.4833333333333334,18635.79561830725,50411.36911642568,352751.12439490395,4.302528146274794,36484677.13292836,2.8386167120010528e-14,1.6136541384295998e-11,1.0663740352036828e-11,6.065199887666017,1.0100586846361088e-11,2.2500668521650115e-05,6.082245211887905,0.08723687448117604,0.10189029725446791,0.08357351878785307,0.07921920515759366,0.0,44056.254416802,2.0,0.0005166655459197903,0.04354977547727408,AUT,1.1738341050886907,0.158064275956296,Austria,0.1679728080635645,0.1679728080635645,0.2,0.9973828125000002,8479823.0,0.2,0.0,600.59,600.59,1.9990621756684104,0.9666666666666668,0.7073914313525853,0.709379447662437,0.44403249416948737,0.6719170273842541,0.00013805633938704243,9.765987152629825e-05,1307.2877438148519,0.08460000000000001,0.08460000000000001,0.0,0.12083333333333335,0.12083333333333335,0.51716638,0.40816435,0.57550877575,0.47967782437500006,51576362.83940693,51431821.50702771,144541.33237921848,0.04900000095367431,0.16005003293838715,0.48000000000000015,0.12400000000000001,0.12400000000000001,0.16005003293838715
