country	H	alpha	avg_prod_k	bashs	finance_pre	loan40	loan60	ophe	pe	plgp	prepare_scaleup	pv	rating	saved40	saved60	share1	shew	social_p	social_r	unemp	v
Afghanistan																					
Albania	1.8797907159121963	-105128.52437364397	-10.50762094900112	4.717154141327156	inf	63.09108956202799	33.0682230701935	-8.966443114359851	-4.660609464986299	2.3709117425316673	455684.41789217765	-5.7575208398675395	inf	252.72589391262278	59.87176972586479	9.077369000300076	48055.83572603067	8.836956145935728	14.264223903822979	-3.659467581371358	103.60271125832965
Algeria																					
American Samoa																					
Andorra																					
Angola																					
Antigua and Barbuda																					
Arab World																					
Argentina	2.6367759541498614	-72358.44092568311	-7.233431555854349	3.960699350184831	65.79522254666774	165.7653260451149	61.45483999662521	-19.136439413271944	-2.9350791161288394	2.0659134917287028	56.390923410241285	-4.025730030787338	394.19834226409785	1600.053716523913	185.20457775654268	15.89971015798117	4.779481437014593	9.798632323584107	25.144174894009545	-6.412308348900202	-139.0606016636604
Armenia																					
Aruba																					
Australia	5.504462839057849	-60992.58346666632	-6.097295316410787	7.831318502860066	21.678865364693333	305.4937841048652	20.38922743540351	-42.298529760413956	-6.12755889252555	3.9955700716435087	9.634005148347962	-8.165227333893407	17.341733567092643	210.00786980637025	14.91395309250585	-134.0870110066075	3.5500375386418925	4.8810249521360465	12.144362685852297	-17.173680262004698	-56.93645783369925
Austria	5.18077974472792	-58954.571823446444	-5.893250551667562	5.802122691182419	inf	291.331603028339	94.90564443595812	-37.40910377544983	-5.056928739910512	2.850499997441482	134201.85554162614	-6.560734654826488	inf	96.24993073670866	32.82396688913047	13.139042805829224	44651.30324111019	4.516789904819566	13.242990126813517	-14.505048184974806	-59.554934094984304
Azerbaijan	3.746415053983636	-33852.45907996315	-3.3847472683623803	5.595090684921386	inf	40.38376629572946	18.541797510788108	-8.060272703094563	-4.112703365367524	2.8321220517228984	368129.022926833	-5.330872438856404	inf	7809.922758850374	354.5269780225129	9.161445565139342	40829.74838933957	10.287564453988724	28.285814444783572	-12.639621858953193	80.65255992201986
Bahamas, The																					
Bahrain																					
Bangladesh	1.6400722846066216	-83741.04085416801	-8.371459648907242	18.904823760596493	43.40952557311769	23.531395866037187	17.78927107640774	-9.46044644756928	-3.5816474417316937	4.526247039528599	28.936297540669518	-4.789185280336277	86.79924810310567	65.94805575250702	33.838321034425	7.032554502199652	4.78012846948956	25.615934566521933	12.262852017603448	-17.420690138275493	-58.48729412485451
Barbados																					
Belarus																					
Belgium	2.818650969989334	-67796.2777159999	-6.776861833308559	6.072385817413605	inf	200.91390136422763	58.95090777522283	-30.243870699725125	-6.6330053622221845	3.1883955078116943	120087.1007346821	-8.274573037586826	inf	94.15137316908293	23.056691693610325	23.332018896959582	44568.0796087853	3.2366215920211268	7.393883569121966	-8.855480058480376	-28.018806789432055
Belize																					
Benin	3.128769855105599	-58080.54540368786	-5.80649914272636	5.805791914725361	inf	53.79694371668358	17.90540311932806	-11.031045960431337	-2.9329214508741943	4.119611673694523	inf	-4.050626975356213	inf	645.980842887176	74.72832312670873	9.967260154366844	46480.04403293008	55.93288506975438	69.08979805403192	-61.027469852438	22.157117232671045
Bermuda																					
Bhutan																					
Bolivia	3.502672802543675	-46801.25720081275	-4.679153540059476	6.712281336221863	165.8297133435502	99.04266074532809	39.44658556029619	-20.54494097906149	-2.5094879953675457	2.768784607454657	81.20620013584158	-3.61163757928656	159.16604970034433	236.8405610504571	49.024882852799294	19.674592332869654	6.341718656434246	14.244044087715586	36.186537996528656	-22.94357868355448	177.266575949713
Bosnia and Herzegovina																					
Botswana	2.1416101623020443	-79036.40769376972	-7.901086422091903	5.8525093769834	34.19509632382605	33.10148698650052	10.326909789947852	-100.19018908857714	-2.8812426162784677	2.9774908717215087	19.820156693898078	-3.8195329309947263	47.159960054567634	197.67981374809898	23.357834368582864	41.717370871597986	3.6592287085544966	7.616350245805666	34.88264874758723	-3.7611812209594113	-126.95083104585085
Brazil	2.003622628437964	-73211.22368397069	-7.318643137294103	5.46646667125658	29.588000100633845	80.32083018170763	27.744187032391167	-17.131484486002524	-2.911520354562494	4.936334407231732	15.000672027583995	-3.928105845727246	30.42899880859451	273.98884997308187	55.43729573797498	25.643505259096735	21.81263866936837	6.377218386239951	11.01144814251353	-11.233892333951733	-90.6173618585237
Brunei Darussalam																					
Bulgaria	1.7173489337745915	-58703.55730216419	-5.868748743865245	7.5706958383683025	13.689063162210454	158.93488875225037	30.400605521507867	-17.808489033901772	-7.210231461968372	3.885365207102334	8.110901780660637	-9.865077932154417	19.908111659489762	5792.819410788079	132.14921696920752	74.71992080918079	4.343343115625373	2.7585001813578263	4.191288432282453	-7.299225537932741	-11.304184784137336
Burkina Faso	1.8818349996203831	-50355.415550116755	-5.034447028474521	9.740383333193028	14.146925410497428	126.48701178282155	18.293477319753208	-17.653156786514973	-6.553545003684739	4.653711729313649	10.777427625906865	-8.105012944057203	45.25287631433856	1224.7187014188514	62.86276967103642	42.54734386593849	6.077215868612319	3.2990825316789425	6.951073072972728	-25.881953665840573	-17.38988176791943
Burundi																					
Cabo Verde																					
Cambodia	3.3340794314044198	-44807.757988131925	-4.479918132802727	7.350340753706264	inf	23.51067846230916	12.326565224270148	-8.812136447204733	-3.7234639211257146	4.1238582458768835	4945722.297668806	-4.971833730241162	inf	7511.013252743819	536.7825965403013	6.1288725864782325	44387.51102027317	128.88733919401784	162.42684170646663	-226.56065866147765	22.58933508506815
