country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Albania,1.0,1.0,1.0,1.0,87.0,44.0,66.0,58.0,33.0,81.0,38.0,49.0,49.0,4.0,39.0,1.0,8.0,8.0,7.0,7.0,14.0,7.0,25.0,32.0,21.0,22.0,68.0,49.0,1.0,11.0,39.0,90.0,87.0,17.0,90.0,75.0,75.0,1.0,19.0,83.0,1.0,67.0,51.0,51.0,40.0,62.0,28.0,23.0,19.0,18.0,16.0,13.0,51.0,14.0,14.0,68.0,82.0,82.0,47.0,49.0,73.0,78.0,44.0,41.0,40.0,11.0,35.0,1.0,29.0,35.0,27.0
Argentina,1.0,1.0,1.0,1.0,58.0,82.0,73.0,27.0,49.0,75.0,40.0,31.0,32.0,37.0,18.0,1.0,8.0,8.0,30.0,7.0,33.0,31.0,22.0,21.0,24.0,25.0,60.0,32.0,1.0,14.0,73.0,89.0,58.0,62.0,89.0,13.0,13.0,1.0,28.0,23.0,1.0,29.0,20.0,20.0,32.0,76.0,69.0,72.0,68.0,72.0,52.0,53.0,20.0,76.0,76.0,13.0,57.0,57.0,58.0,55.0,64.0,65.0,18.0,18.0,28.0,43.0,42.0,37.0,41.0,36.0,43.0
Armenia,1.0,1.0,1.0,1.0,30.0,86.0,88.0,61.0,28.0,58.0,44.0,57.0,56.0,68.0,85.0,1.0,8.0,8.0,71.0,7.0,70.0,71.0,55.0,51.0,56.0,56.0,60.0,56.0,1.0,76.0,34.0,88.0,30.0,14.0,88.0,13.0,13.0,1.0,37.0,81.0,1.0,63.0,55.0,55.0,78.0,50.0,32.0,33.0,16.0,29.0,61.0,58.0,55.0,15.0,15.0,61.0,64.0,64.0,26.0,36.0,31.0,55.0,85.0,86.0,79.0,10.0,87.0,84.0,68.0,80.0,78.0
Australia,1.0,1.0,1.0,1.0,52.0,3.0,1.0,22.0,1.0,4.0,9.0,5.0,7.0,27.0,27.0,1.0,8.0,8.0,37.0,7.0,70.0,40.0,45.0,41.0,46.0,50.0,7.0,7.0,1.0,59.0,80.0,87.0,52.0,66.0,87.0,13.0,13.0,1.0,1.0,31.0,1.0,9.0,11.0,11.0,59.0,1.0,24.0,28.0,34.0,33.0,68.0,66.0,11.0,43.0,43.0,1.0,2.0,2.0,18.0,60.0,13.0,24.0,29.0,28.0,59.0,58.0,20.0,57.0,23.0,19.0,23.0
Austria,1.0,1.0,1.0,1.0,74.0,7.0,8.0,13.0,1.0,48.0,4.0,4.0,4.0,79.0,79.0,1.0,8.0,8.0,80.0,7.0,62.0,81.0,16.0,16.0,16.0,20.0,68.0,4.0,1.0,51.0,87.0,86.0,74.0,74.0,86.0,13.0,13.0,1.0,8.0,58.0,1.0,67.0,2.0,2.0,11.0,9.0,31.0,36.0,65.0,35.0,84.0,85.0,2.0,18.0,18.0,68.0,68.0,68.0,25.0,13.0,34.0,31.0,80.0,80.0,82.0,65.0,59.0,63.0,64.0,77.0,57.0
Azerbaijan,1.0,1.0,1.0,1.0,5.0,89.0,80.0,70.0,32.0,74.0,28.0,35.0,34.0,56.0,57.0,1.0,8.0,8.0,51.0,7.0,70.0,51.0,37.0,36.0,38.0,37.0,68.0,34.0,1.0,75.0,40.0,85.0,5.0,2.0,85.0,13.0,13.0,1.0,22.0,57.0,1.0,67.0,54.0,54.0,76.0,34.0,58.0,63.0,41.0,55.0,62.0,64.0,54.0,26.0,26.0,68.0,78.0,78.0,3.0,17.0,3.0,43.0,58.0,57.0,60.0,59.0,88.0,80.0,66.0,80.0,73.0
Bangladesh,1.0,1.0,1.0,1.0,47.0,25.0,40.0,88.0,89.0,28.0,70.0,74.0,74.0,49.0,9.0,1.0,8.0,8.0,50.0,7.0,1.0,50.0,2.0,4.0,2.0,2.0,7.0,74.0,1.0,3.0,5.0,81.0,47.0,7.0,84.0,72.0,72.0,1.0,76.0,5.0,1.0,29.0,25.0,25.0,46.0,44.0,45.0,35.0,29.0,41.0,29.0,26.0,25.0,13.0,13.0,13.0,34.0,34.0,77.0,81.0,66.0,62.0,9.0,9.0,5.0,68.0,32.0,37.0,31.0,32.0,31.0
Belarus,1.0,1.0,1.0,1.0,23.0,56.0,68.0,39.0,1.0,41.0,25.0,34.0,33.0,29.0,42.0,1.0,8.0,8.0,38.0,7.0,57.0,39.0,59.0,54.0,58.0,62.0,7.0,33.0,1.0,55.0,70.0,78.0,23.0,45.0,83.0,13.0,13.0,1.0,18.0,56.0,1.0,19.0,52.0,52.0,19.0,69.0,34.0,38.0,56.0,45.0,55.0,50.0,52.0,5.0,5.0,13.0,36.0,36.0,30.0,30.0,28.0,22.0,47.0,45.0,55.0,57.0,49.0,37.0,53.0,53.0,53.0
Belgium,1.0,1.0,1.0,1.0,84.0,8.0,16.0,23.0,1.0,53.0,8.0,10.0,10.0,48.0,47.0,1.0,8.0,8.0,52.0,7.0,62.0,52.0,11.0,11.0,11.0,14.0,68.0,10.0,1.0,61.0,55.0,84.0,84.0,63.0,82.0,13.0,13.0,1.0,54.0,48.0,1.0,67.0,5.0,5.0,27.0,12.0,9.0,9.0,42.0,11.0,75.0,72.0,5.0,21.0,21.0,68.0,69.0,69.0,11.0,15.0,23.0,35.0,56.0,55.0,71.0,34.0,67.0,68.0,61.0,73.0,60.0
Benin,1.0,1.0,1.0,1.0,36.0,73.0,61.0,64.0,65.0,88.0,83.0,80.0,80.0,46.0,49.0,1.0,8.0,8.0,41.0,7.0,7.0,35.0,56.0,31.0,68.0,48.0,68.0,80.0,1.0,6.0,20.0,83.0,36.0,28.0,81.0,3.0,3.0,1.0,86.0,53.0,1.0,67.0,72.0,72.0,77.0,78.0,80.0,80.0,60.0,74.0,9.0,12.0,72.0,54.0,54.0,68.0,88.0,88.0,79.0,76.0,87.0,87.0,42.0,44.0,21.0,87.0,5.0,1.0,1.0,4.0,1.0
Bolivia,1.0,1.0,1.0,1.0,15.0,37.0,32.0,42.0,63.0,55.0,72.0,61.0,61.0,34.0,41.0,1.0,8.0,8.0,24.0,7.0,41.0,24.0,42.0,52.0,41.0,46.0,60.0,61.0,1.0,28.0,68.0,77.0,15.0,64.0,80.0,73.0,73.0,1.0,32.0,50.0,1.0,56.0,68.0,68.0,18.0,43.0,73.0,78.0,78.0,78.0,31.0,33.0,68.0,85.0,85.0,41.0,55.0,55.0,41.0,39.0,45.0,53.0,34.0,34.0,37.0,84.0,50.0,18.0,49.0,46.0,51.0
Bosnia and Herzegovina,1.0,1.0,1.0,1.0,38.0,61.0,71.0,36.0,18.0,84.0,43.0,51.0,51.0,5.0,36.0,1.0,8.0,8.0,5.0,7.0,3.0,4.0,8.0,8.0,8.0,9.0,68.0,51.0,1.0,2.0,28.0,79.0,38.0,48.0,79.0,13.0,13.0,1.0,58.0,78.0,1.0,67.0,43.0,43.0,48.0,66.0,67.0,62.0,44.0,56.0,13.0,15.0,43.0,38.0,38.0,68.0,85.0,85.0,56.0,62.0,81.0,83.0,33.0,33.0,22.0,1.0,30.0,1.0,21.0,27.0,21.0
Botswana,1.0,1.0,1.0,1.0,48.0,38.0,36.0,4.0,55.0,10.0,53.0,36.0,37.0,16.0,62.0,1.0,8.0,8.0,12.0,7.0,35.0,13.0,67.0,60.0,64.0,64.0,1.0,37.0,1.0,23.0,57.0,75.0,48.0,89.0,78.0,13.0,13.0,1.0,46.0,87.0,1.0,19.0,49.0,49.0,68.0,16.0,64.0,66.0,50.0,64.0,38.0,36.0,49.0,88.0,88.0,1.0,12.0,12.0,51.0,83.0,39.0,46.0,63.0,63.0,53.0,7.0,12.0,57.0,14.0,12.0,14.0
Brazil,1.0,1.0,1.0,1.0,60.0,45.0,54.0,40.0,50.0,30.0,49.0,38.0,38.0,8.0,1.0,1.0,8.0,8.0,8.0,7.0,16.0,8.0,36.0,35.0,37.0,43.0,40.0,38.0,1.0,12.0,44.0,76.0,60.0,47.0,77.0,13.0,13.0,1.0,59.0,2.0,1.0,3.0,39.0,39.0,69.0,30.0,60.0,58.0,46.0,57.0,30.0,28.0,39.0,84.0,84.0,66.0,18.0,18.0,53.0,42.0,43.0,26.0,1.0,1.0,3.0,56.0,11.0,12.0,4.0,11.0,4.0
Bulgaria,1.0,1.0,1.0,1.0,39.0,74.0,72.0,48.0,28.0,23.0,33.0,37.0,36.0,31.0,45.0,1.0,8.0,8.0,36.0,7.0,51.0,38.0,46.0,43.0,49.0,51.0,7.0,36.0,1.0,53.0,48.0,80.0,39.0,30.0,76.0,13.0,13.0,1.0,31.0,60.0,1.0,29.0,34.0,34.0,54.0,34.0,35.0,40.0,48.0,38.0,53.0,45.0,34.0,51.0,51.0,13.0,28.0,28.0,10.0,14.0,11.0,15.0,52.0,50.0,58.0,18.0,24.0,37.0,28.0,25.0,29.0
Burkina Faso,1.0,1.0,1.0,1.0,22.0,59.0,60.0,69.0,72.0,41.0,82.0,82.0,81.0,62.0,46.0,1.0,8.0,8.0,65.0,7.0,50.0,65.0,86.0,88.0,85.0,85.0,7.0,81.0,1.0,57.0,25.0,82.0,22.0,41.0,75.0,81.0,81.0,1.0,72.0,38.0,1.0,9.0,87.0,87.0,73.0,69.0,29.0,20.0,12.0,16.0,28.0,24.0,87.0,47.0,47.0,41.0,31.0,31.0,28.0,28.0,26.0,17.0,53.0,53.0,42.0,81.0,8.0,18.0,5.0,4.0,6.0
Cambodia,1.0,1.0,1.0,1.0,13.0,83.0,89.0,77.0,68.0,82.0,69.0,73.0,73.0,19.0,28.0,1.0,8.0,8.0,16.0,7.0,5.0,16.0,10.0,23.0,9.0,7.0,68.0,73.0,1.0,5.0,19.0,44.0,13.0,9.0,74.0,79.0,79.0,1.0,77.0,44.0,1.0,67.0,75.0,75.0,15.0,63.0,74.0,69.0,45.0,61.0,5.0,9.0,75.0,10.0,10.0,68.0,83.0,83.0,86.0,88.0,86.0,89.0,24.0,27.0,8.0,90.0,53.0,1.0,48.0,51.0,47.0
Cameroon,1.0,1.0,1.0,1.0,16.0,34.0,64.0,79.0,74.0,82.0,75.0,76.0,75.0,71.0,56.0,1.0,8.0,8.0,63.0,7.0,19.0,60.0,60.0,45.0,63.0,58.0,68.0,75.0,1.0,28.0,16.0,73.0,16.0,5.0,73.0,11.0,11.0,1.0,69.0,34.0,1.0,67.0,67.0,67.0,8.0,63.0,87.0,87.0,83.0,86.0,34.0,44.0,67.0,52.0,52.0,68.0,83.0,83.0,65.0,87.0,85.0,88.0,41.0,43.0,23.0,73.0,58.0,16.0,56.0,58.0,56.0
Canada,1.0,1.0,1.0,1.0,35.0,12.0,5.0,12.0,1.0,12.0,10.0,8.0,9.0,69.0,40.0,1.0,8.0,8.0,72.0,7.0,79.0,74.0,50.0,47.0,52.0,60.0,40.0,9.0,1.0,82.0,83.0,74.0,35.0,76.0,72.0,13.0,13.0,1.0,1.0,26.0,1.0,3.0,18.0,18.0,42.0,1.0,30.0,34.0,47.0,37.0,82.0,82.0,18.0,41.0,41.0,13.0,6.0,6.0,13.0,56.0,8.0,23.0,46.0,42.0,81.0,48.0,70.0,74.0,79.0,69.0,77.0
