                      OLS Regression Results                     
Dep. Variable:   ,resilience      ,  R-squared:         ,   0.167
Model:           ,OLS             ,  Adj. R-squared:    ,   0.158
Method:          ,Least Squares   ,  F-statistic:       ,   17.65
Date:            ,Mon, 09 May 2016,  Prob (F-statistic):,6.34e-05
Time:            ,19:02:37        ,  Log-Likelihood:    ,  56.719
No. Observations:,    90          ,  AIC:               ,  -109.4
Df Residuals:    ,    88          ,  BIC:               ,  -104.4
Df Model:        ,     1          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
         ,   coef   , std err ,    t    ,P>|t| , [95.0% Conf. Int.]
Intercept,    0.5453,    0.021,   26.222, 0.000,    0.504     0.587
gdp_pc_pp, 4.227e-06, 1.01e-06,    4.202, 0.000, 2.23e-06  6.23e-06
Omnibus:      , 4.260,  Durbin-Watson:     ,   1.941
Prob(Omnibus):, 0.119,  Jarque-Bera (JB):  ,   3.655
Skew:         ,-0.479,  Prob(JB):          ,   0.161
Kurtosis:     , 3.238,  Cond. No.          ,3.13e+04
