country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,axhealth,bashs,ophe,social_p,social_r
Afghanistan,1883.7633205312,30551674.0,,,0.08,0.0,0.04948734,0.32096054586055045,0.386,0.7440789082788991,0.11107429685686761,0.04316252283353993
Albania,10405.3514854189,2773620.0,0.0885,0.9878336999999999,0.16,0.05608258,0.10533610000000002,0.7352965464497045,0.993,0.522406907100591,0.2629495641629598,0.17935972626416477
Algeria,12892.942492651599,39208194.0,,0.9276751999999999,0.0980000019073486,0.01105427,0.0734037,0.9008194527104316,0.9520000000000001,0.150361094579137,,
American Samoa,,55165.0,,,,,,,1.0,,,
Andorra,,79218.0,,,,,,,,0.174695496810881,,
Angola,7488.01175983409,21471618.0,0.054000000000000006,0.31872849999999997,0.0680000019073486,0.1154785,0.1891649,0.6030695729284206,0.473,0.266860854143159,,
Antigua and Barbuda,20353.2908243918,89985.0,,0.9132207,,,,0.8890949124636475,1.0,0.221810175072705,,
Arab World,15454.9682410093,369761523.0,,0.832042694091797,0.11413681195620999,,,0.712734773475602,0.754373858459535,0.328904311508331,,
Argentina,18087.196261682242,41446246.0,0.0458,0.9311673,0.075,0.01420428,0.05631483,0.8851742416014295,0.9714,0.201051516797141,0.20015344553599781,0.14264750646937888
Armenia,7526.83641911287,2976566.0,0.0877,0.9561710999999999,0.16200000762939498,0.0,0.01436279,0.7246509304069144,0.995,0.545698139186171,0.5050600974072442,0.2457265032536369
Aruba,36016.4837574639,102911.0,,0.9311888,,,,,0.96,,,
Australia,42831.0616313708,23130900.0,0.0703,0.9983825999999999,0.0569999980926514,0.47276709999999994,0.7022377,0.9890043433867921,1.0,0.185143220596813,,
Austria,44375.79243067071,8473786.0,0.08460000000000001,0.9973828,0.0490000009536743,0.4475564,0.5615467,0.9890043433867921,1.0,0.15199644078582403,,
Azerbaijan,16593.5464706905,9416598.0,0.08130000000000001,0.9818643,0.055,0.0029754640000000006,0.027332650000000003,0.6520042485848705,0.9940000000000001,0.689991502830259,0.8571289621356334,0.38777251599754
"Bahamas, The",22517.995142032796,377374.0,,0.894999,0.136000003814697,,,0.849446978452433,0.99,0.291106043095134,,
Bahrain,42444.2784449127,1332171.0,,0.9780743000000001,0.07400000095367429,0.19785339999999998,0.1075721,0.9151757669375125,0.995,0.164648466124975,,
Bangladesh,2853.4477401556605,156594962.0,0.0888,0.6620096,0.043000001907348595,0.1482436,0.1797991,0.34176861686603255,0.317,0.633462766267935,0.05676295243871604,0.0553770944413467
Barbados,15298.7155167979,284644.0,,0.9337465999999999,0.121999998092651,,,0.827951597260521,1.0,0.34409680547895793,,
Belarus,17054.5583344525,9466000.0,0.09369999999999999,0.9906334,0.05800000190734861,0.04568404,0.08229139,0.902688463827559,1.0,0.194623072344882,0.4917469369193375,0.31017039879218267
Belgium,40607.259030119305,11195138.0,0.08349999999999999,0.9332180999999999,0.0839999961853027,0.39223909999999995,0.44812240000000003,0.9890043433867921,1.0,0.196764362105088,,
Belize,8214.653712573629,331900.0,,0.9091660999999999,0.146000003814697,,,0.8585570884871551,0.9620000000000001,0.24488582302568995,0.420367529660433,0.11287637643952123
Benin,1733.30939936435,10323474.0,0.061399999999999996,0.5926126,0.01,0.02319703,0.1020036,0.699185185590443,0.841,0.442629628819114,0.04725879624981513,0.07452986615849086
Bermuda,52118.640227698204,65024.0,,0.8424221,,,,,,,,
Bhutan,7167.20580923455,753947.0,0.0675,0.9490124,0.020999999046325702,,,0.746258924638456,0.645,0.15248215072308802,,
Bolivia,5934.38797771874,10671200.0,0.0332,0.861828,0.025999999046325696,0.09397902999999999,0.2254759,0.7393541273640469,0.711,0.23229174527190602,0.3472089336125369,0.22686933124290842
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.0747,0.9874358000000001,0.283999996185303,0.031531029999999995,0.08405342999999998,0.860617505332781,0.9990000000000001,0.277764989334438,0.21952171315065594,0.12545992207249582
Botswana,15246.6087973119,2021144.0,0.028399999999999998,0.9297211999999999,0.183999996185303,0.07976964,0.2384546,0.9453706402846418,0.946,0.0552587194307164,0.2327888197915706,0.04377653874540727
Brazil,14555.0821953115,200361925.0,0.0339,0.5370855,0.05900000095367429,0.057648279999999996,0.1330212,0.8302421617665,0.97,0.309515676467,0.22567230651126025,0.20561131320709558
Brunei Darussalam,69474.17897293,417784.0,,0.9636919,0.037999999523162804,,,0.9592024864031929,0.9990000000000001,0.0805950271936141,,
Bulgaria,15695.0177942759,7265115.0,0.0641,0.9693864999999999,0.128999996185303,0.008949124,0.07196662,0.786004400682482,0.995,0.42299119863503604,0.4612280619455438,0.22424749942962993
Burkina Faso,1581.99047345561,16934839.0,0.0672,0.6896551,0.030999999046325697,0.03177778,0.1165342,0.647693799849628,0.659,0.363612400300744,0.49467539015609324,0.3235166050780195
Burundi,746.960151427392,10162532.0,0.08960000000000001,0.4380206,0.06900000095367428,0.014677599999999999,0.04565837999999999,0.6601372180705605,0.603,0.282725563858879,,
